candidate_id,question_id,pmid,rater_1_relevance,rater_2_relevance,rater_3_relevance,final_relevance,method,notes
Q003-C018,Q003,19794059,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q003-C019,Q003,25341798,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q003-C020,Q003,12172480,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C021,Q003,18489581,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q003-C022,Q003,33998291,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q004-C001,Q004,29693253,2,1,0,1,internal-ai-tie-adjudicator:gpt-5.6-sol,"Three-way AI tie r1/r2/r3=2/1/0; independent gpt-5.6-sol decision, confidence=3: Reviews curcumin regulation of PI3K/AKT and related oncogenic molecules, but the abstract does not directly connect specific genes to apoptosis."
Q004-C002,Q004,31590362,1,1,0,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/0.
Q004-C003,Q004,31223280,2,1,0,1,internal-ai-tie-adjudicator:gpt-5.6-sol,"Three-way AI tie r1/r2/r3=2/1/0; independent gpt-5.6-sol decision, confidence=3: Identifies multiple gene-centered pathways regulated by curcumin, but does not explicitly establish curcumin-to-gene-to-apoptosis paths."
Q004-C004,Q004,38166505,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q004-C005,Q004,35722665,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q004-C006,Q004,30623450,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q004-C007,Q004,37776274,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q004-C008,Q004,17916240,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q004-C009,Q004,39219410,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q004-C010,Q004,41109942,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q004-C011,Q004,15810876,1,2,0,2,internal-ai-tie-adjudicator:gpt-5.6-sol,"Three-way AI tie r1/r2/r3=1/2/0; independent gpt-5.6-sol decision, confidence=3: Directly reviews proapoptotic and antiapoptotic molecules involved in curcumin-induced apoptosis."
Q004-C012,Q004,18755156,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q004-C013,Q004,38269517,0,1,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/1/0.
Q004-C014,Q004,32519340,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q004-C015,Q004,38699926,1,1,0,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/0.
Q004-C016,Q004,38031951,1,1,0,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/0.
Q004-C017,Q004,30725357,1,1,0,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/0.
Q004-C018,Q004,41252742,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q005-C001,Q005,33476985,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C002,Q005,21547208,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C003,Q005,18218341,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C004,Q005,27809706,0,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/0.
Q005-C005,Q005,40023293,1,0,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/1.
Q005-C006,Q005,32967303,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C007,Q005,37956598,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C008,Q005,22697066,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C009,Q005,37597424,1,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/2/2.
Q005-C010,Q005,35660451,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q005-C011,Q005,40902587,1,1,2,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/2.
Q005-C012,Q005,40864415,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C013,Q005,37227619,1,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/0.
Q005-C014,Q005,35522844,1,0,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/1.
Q005-C015,Q005,27766447,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q005-C016,Q005,9848093,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q005-C017,Q005,40931065,1,1,0,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/0.
Q005-C018,Q005,35269827,0,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/0.
Q006-C001,Q006,15111011,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q006-C002,Q006,18695354,1,2,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/2/1.
Q006-C003,Q006,10569303,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q006-C004,Q006,39684569,0,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/0.
Q006-C005,Q006,22112351,1,2,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/2/1.
Q006-C006,Q006,22710021,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q006-C007,Q006,14664903,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q006-C008,Q006,21890489,1,2,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/2/1.
Q006-C009,Q006,19075102,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q006-C010,Q006,15815580,1,2,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/2/1.
Q006-C011,Q006,15320839,1,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/0.
Q006-C012,Q006,17584107,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q006-C013,Q006,18808324,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q006-C014,Q006,28057795,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q006-C015,Q006,38385489,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q006-C016,Q006,17430168,1,2,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/2/1.
Q006-C017,Q006,24928320,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q006-C018,Q006,35970408,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q006-C019,Q006,15861315,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C001,Q007,30502718,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C002,Q007,27576555,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C003,Q007,30891627,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C004,Q007,30133701,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C005,Q007,35872102,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C006,Q007,25130295,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q007-C007,Q007,29922283,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C008,Q007,22096355,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C009,Q007,28148916,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q007-C010,Q007,31295952,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C011,Q007,31866067,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C012,Q007,25145755,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C013,Q007,25467639,1,0,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/1.
Q007-C014,Q007,31931372,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C015,Q007,33072104,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C016,Q007,34635393,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C017,Q007,27757507,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q007-C018,Q007,22324470,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C019,Q007,37670700,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C020,Q007,34875227,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q007-C021,Q007,39875232,1,1,2,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/2.
Q007-C022,Q007,37579542,1,1,2,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/2.
Q008-C001,Q008,35276841,2,2,1,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/1.
Q008-C002,Q008,40247380,0,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/1/1.
Q008-C003,Q008,40824057,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q008-C004,Q008,22649552,2,0,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/0/2.
Q008-C005,Q008,27588407,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q008-C006,Q008,35743652,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q008-C007,Q008,30546102,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q008-C008,Q008,28155088,2,2,1,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/1.
Q008-C009,Q008,35160099,2,2,1,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/1.
Q008-C010,Q008,37546931,2,0,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/0/2.
Q008-C011,Q008,35449374,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q008-C012,Q008,31636470,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q008-C013,Q008,36600119,2,2,1,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/1.
Q008-C014,Q008,38179971,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q008-C015,Q008,23788646,2,2,1,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/1.
Q008-C016,Q008,38554847,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q008-C017,Q008,38073491,2,2,0,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/0.
Q008-C018,Q008,32326161,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q008-C019,Q008,26549988,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C001,Q009,18835816,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q009-C002,Q009,34821076,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C003,Q009,28122601,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q009-C004,Q009,40536399,2,1,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/2.
Q009-C005,Q009,29897957,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C006,Q009,40296760,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C007,Q009,41344510,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q009-C008,Q009,21388555,1,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/0.
Q009-C009,Q009,32885495,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C010,Q009,39122555,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C011,Q009,33523949,1,2,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/2/1.
Q009-C012,Q009,35565236,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q009-C013,Q009,41521250,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C014,Q009,40617409,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C015,Q009,26972840,1,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/0.
Q009-C016,Q009,40391687,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C017,Q009,27330885,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q009-C018,Q009,31114509,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q009-C019,Q009,39713478,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q009-C020,Q009,36588738,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q009-C021,Q009,39381601,0,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/0.
Q009-C022,Q009,24058805,1,1,0,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/0.
Q009-C023,Q009,33601387,2,1,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/2.
Q010-C001,Q010,33339654,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q010-C002,Q010,28158288,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q010-C003,Q010,31661767,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q010-C004,Q010,27492554,2,1,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/2.
Q010-C005,Q010,35909545,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q010-C006,Q010,40350835,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C007,Q010,41196108,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C008,Q010,24956021,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q010-C009,Q010,34854397,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q010-C010,Q010,33426313,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q010-C011,Q010,31131457,1,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/0.
Q010-C012,Q010,28361330,0,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/0.
Q010-C013,Q010,30827108,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C014,Q010,38795694,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C015,Q010,40358879,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C016,Q010,29904399,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C017,Q010,40024453,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C018,Q010,40266676,2,1,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/2.
Q010-C019,Q010,41961168,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q010-C020,Q010,31971108,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q011-C001,Q011,24750786,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q011-C002,Q011,31489252,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q011-C003,Q011,29167573,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q011-C004,Q011,25456211,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q011-C005,Q011,34607979,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q011-C006,Q011,25710562,1,1,0,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/0.
Q011-C007,Q011,29662316,1,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/0.
Q011-C008,Q011,34576192,1,1,2,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/2.
Q011-C009,Q011,24858012,2,2,1,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/1.
Q011-C010,Q011,33886150,1,1,2,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/2.
Q011-C011,Q011,37371530,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q011-C012,Q011,29554968,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q011-C013,Q011,40140842,1,1,2,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/2.
Q011-C014,Q011,20135346,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q011-C015,Q011,30445633,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q011-C016,Q011,26277279,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q011-C017,Q011,35072253,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q011-C018,Q011,24009772,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q011-C019,Q011,34062070,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
