candidate_id,question_id,pmid,in_formal_v1_qrels,formal_v1_relevance,netmedex_rank,traditional_rank,in_pubmed_corpus,has_title_abstract,requires_human_judgment
Q009-C002,Q009,34821076,0,,6,6,1,1,1
Q009-C003,Q009,28122601,1,2,,,0,1,1
Q009-C004,Q009,40536399,0,,10,10,1,1,1
Q009-C005,Q009,29897957,0,,2,2,1,1,1
Q009-C006,Q009,40296760,0,,,,1,1,1
Q009-C007,Q009,41344510,0,,,,1,1,1
Q009-C008,Q009,21388555,1,1,,,0,1,1
Q009-C009,Q009,32885495,0,,7,7,1,1,1
Q009-C010,Q009,39122555,0,,3,3,1,1,1
Q009-C011,Q009,33523949,0,,4,4,1,1,1
Q009-C012,Q009,35565236,0,,,,1,1,1
Q009-C013,Q009,41521250,1,2,,,0,1,1
Q009-C014,Q009,40617409,0,,8,8,1,1,1
Q009-C015,Q009,26972840,0,,5,5,1,1,1
Q009-C016,Q009,40391687,1,2,,,0,1,1
Q009-C017,Q009,27330885,0,,,,1,1,1
Q009-C018,Q009,31114509,1,1,1,1,1,1,1
Q009-C019,Q009,39713478,1,2,,,0,1,1
Q009-C020,Q009,36588738,1,2,,,0,1,1
Q009-C021,Q009,39381601,0,,,,1,1,1
Q009-C022,Q009,24058805,1,1,,,0,1,1
Q009-C023,Q009,33601387,0,,9,9,1,1,1
Q010-C001,Q010,33339654,1,2,,,0,1,1
Q010-C002,Q010,28158288,0,,,,1,1,1
Q010-C003,Q010,31661767,1,1,,,0,1,1
Q010-C004,Q010,27492554,0,,,,1,1,1
Q010-C005,Q010,35909545,1,2,,,0,1,1
Q010-C006,Q010,40350835,0,,,,1,1,1
Q010-C007,Q010,41196108,0,,,,1,1,1
Q010-C008,Q010,24956021,1,2,,,0,1,1
Q010-C009,Q010,34854397,1,2,,,0,1,1
Q010-C010,Q010,33426313,1,2,,,0,1,1
Q010-C011,Q010,31131457,0,,,,1,1,1
Q010-C012,Q010,28361330,0,,,,1,1,1
Q010-C013,Q010,30827108,0,,,,1,1,1
Q010-C014,Q010,38795694,0,,,,1,1,1
Q010-C015,Q010,40358879,0,,,,1,1,1
Q010-C016,Q010,29904399,1,2,,,0,1,1
Q010-C017,Q010,40024453,0,,,,1,1,1
Q010-C018,Q010,40266676,0,,,,1,1,1
Q010-C019,Q010,41961168,0,,,,1,1,1
Q010-C020,Q010,31971108,1,1,,,0,1,1
Q011-C001,Q011,24750786,0,,,,1,1,1
Q011-C002,Q011,31489252,1,1,,,0,1,1
Q011-C003,Q011,29167573,0,,2,3,1,1,1
Q011-C004,Q011,25456211,1,2,,,0,1,1
Q011-C005,Q011,34607979,1,1,,,0,1,1
Q011-C006,Q011,25710562,0,,,8,1,1,1
Q011-C007,Q011,29662316,0,,,,1,1,1
Q011-C008,Q011,34576192,0,,6,7,1,1,1
Q011-C009,Q011,24858012,1,1,,,0,1,1
Q011-C010,Q011,33886150,0,,,,1,1,1
Q011-C011,Q011,37371530,0,,9,,1,1,1
Q011-C012,Q011,29554968,1,2,,,0,1,1
Q011-C013,Q011,40140842,0,,10,,1,1,1
Q011-C014,Q011,20135346,1,2,,,0,1,1
Q011-C015,Q011,30445633,0,,7,9,1,1,1
Q011-C016,Q011,26277279,0,,3,4,1,1,1
Q011-C017,Q011,35072253,0,,1,2,1,1,1
Q011-C018,Q011,24009772,0,,5,6,1,1,1
Q011-C019,Q011,34062070,1,2,,1,1,1,1
Q011-C020,Q011,31205529,0,,8,10,1,1,1
Q011-C021,Q011,35731713,0,,4,5,1,1,1
Q011-C022,Q011,29465545,1,0,,,0,1,1
Q012-C001,Q012,38695373,0,,,,1,1,1
Q012-C002,Q012,11755003,1,2,,,0,1,1
Q012-C003,Q012,30874945,0,,1,1,1,1,1
Q012-C004,Q012,39725872,0,,9,9,1,1,1
Q012-C005,Q012,32087283,0,,10,10,1,1,1
Q012-C006,Q012,30087595,1,1,,,0,1,1
Q012-C007,Q012,28127589,0,,5,5,1,1,1
Q012-C008,Q012,35130907,0,,,,1,1,1
Q012-C009,Q012,39322063,0,,,,1,1,1
Q012-C010,Q012,35264247,1,2,,,0,1,1
Q012-C011,Q012,31822279,1,2,,,0,1,1
Q012-C012,Q012,36835494,0,,,,1,1,1
Q012-C013,Q012,29669582,0,,7,7,1,1,1
Q012-C014,Q012,34813026,0,,4,4,1,1,1
Q012-C015,Q012,38507186,0,,,,1,1,1
Q012-C016,Q012,38098004,1,2,,,0,1,1
Q012-C017,Q012,26207229,1,2,,,0,1,1
Q012-C018,Q012,40640358,0,,6,6,1,1,1
Q012-C019,Q012,39800461,0,,3,3,1,1,1
Q012-C020,Q012,38824976,0,,8,8,1,1,1
Q012-C021,Q012,40651688,0,,2,2,1,1,1
Q012-C022,Q012,31001075,1,1,,,0,1,1
Q012-C023,Q012,16055942,1,1,,,0,1,1
Q012-C024,Q012,31580243,1,1,,,0,1,1
Q013-C001,Q013,36982171,1,2,,,0,1,1
Q013-C002,Q013,29530884,1,2,,,0,1,1
Q013-C003,Q013,38513436,1,2,,,0,1,1
Q013-C004,Q013,35930089,1,2,,,0,1,1
Q013-C005,Q013,31479722,1,0,,,0,1,1
Q013-C006,Q013,39565386,1,2,,,0,1,1
Q013-C007,Q013,36205734,1,1,,,0,1,1
Q013-C008,Q013,36017088,1,2,,,0,1,1
Q013-C009,Q013,41760861,0,,1,1,1,1,1
Q014-C001,Q014,39867028,1,1,,,0,1,1
Q014-C002,Q014,28199814,1,2,,,0,1,1
Q014-C003,Q014,32561292,0,,2,3,1,1,1
Q014-C004,Q014,27931982,1,2,,,0,1,1
Q014-C005,Q014,31375130,0,,3,5,1,1,1
Q014-C006,Q014,34630419,1,2,,,0,1,1
Q014-C007,Q014,37014106,1,2,1,1,1,1,1
Q014-C008,Q014,30002661,1,2,6,4,1,1,1
Q014-C009,Q014,24453498,1,1,,,0,1,1
Q014-C010,Q014,33741556,0,,5,2,1,1,1
Q014-C011,Q014,35631449,1,2,,,0,1,1
Q014-C012,Q014,39354368,0,,4,6,1,1,1
Q015-C001,Q015,33684134,1,2,,,0,1,1
Q015-C002,Q015,35420680,1,2,,,0,1,1
Q015-C003,Q015,9437185,1,1,,,0,1,1
Q015-C004,Q015,32735131,0,,1,1,1,1,1
Q015-C005,Q015,33077917,1,1,,,0,1,1
Q015-C006,Q015,39599792,1,1,,,0,1,1
Q015-C007,Q015,39945674,1,2,,,0,1,1
Q015-C008,Q015,36265412,0,,3,3,1,1,1
Q015-C009,Q015,33063256,1,1,,,0,1,1
Q015-C010,Q015,33323111,1,1,,,0,1,1
Q015-C011,Q015,34177896,0,,2,2,1,1,1
Q016-C001,Q016,33353564,0,,2,2,1,1,1
Q016-C002,Q016,26643950,1,1,,,0,1,1
Q016-C003,Q016,19437551,1,2,4,4,1,1,1
Q016-C004,Q016,27488123,1,2,,,0,1,1
Q016-C005,Q016,26586529,1,2,,,0,1,1
Q016-C006,Q016,36849544,1,2,,,0,1,1
Q016-C007,Q016,27111068,1,1,,,0,1,1
Q016-C008,Q016,39264856,0,,3,3,1,1,1
Q016-C009,Q016,36142791,1,2,1,1,1,1,1
Q016-C010,Q016,39901351,1,2,,,0,1,1
Q016-C011,Q016,36604149,1,1,,,0,1,1
Q017-C001,Q017,21170047,1,2,,,0,1,1
Q017-C002,Q017,26309584,1,2,6,8,1,1,1
Q017-C003,Q017,23981082,0,,4,6,1,1,1
Q017-C004,Q017,23333143,0,,1,2,1,1,1
Q017-C005,Q017,23726091,0,,3,5,1,1,1
Q017-C006,Q017,22285300,0,,2,4,1,1,1
Q017-C007,Q017,34415683,0,,,1,1,1,1
Q017-C008,Q017,21806387,0,,,,1,1,1
Q017-C009,Q017,21900914,1,1,,,0,1,1
Q017-C010,Q017,31772608,1,2,,,0,1,1
Q017-C011,Q017,29352151,0,,,,1,1,1
Q017-C012,Q017,27380588,1,2,,10,1,1,1
Q017-C013,Q017,23698643,1,2,,,0,1,1
Q017-C014,Q017,28135763,1,2,5,7,1,1,1
Q017-C015,Q017,29408797,0,,9,,1,1,1
Q017-C016,Q017,23260377,0,,,3,1,1,1
Q017-C017,Q017,39327966,0,,10,,1,1,1
Q017-C018,Q017,20801494,1,2,,,0,1,1
Q017-C019,Q017,36891827,0,,8,,1,1,1
Q017-C020,Q017,19106084,1,2,,,0,1,1
Q017-C021,Q017,19106083,1,2,,,0,1,1
Q017-C022,Q017,23150151,0,,7,9,1,1,1
Q018-C001,Q018,40198121,0,,,6,1,1,1
Q018-C002,Q018,36776862,1,2,,,1,1,1
Q018-C003,Q018,39023770,0,,,10,1,1,1
Q018-C004,Q018,40594755,0,,9,4,1,1,1
Q018-C005,Q018,39039301,0,,6,,1,1,1
Q018-C006,Q018,42162235,0,,3,8,1,1,1
Q018-C007,Q018,33912454,1,0,,,0,1,1
Q018-C008,Q018,38996350,0,,,9,1,1,1
Q018-C009,Q018,33257470,1,2,,,0,1,1
Q018-C010,Q018,36351411,1,2,,,0,1,1
Q018-C011,Q018,37872166,1,2,,,0,1,1
Q018-C012,Q018,35047501,1,2,,,0,1,1
Q018-C013,Q018,41718716,0,,5,,1,1,1
Q018-C014,Q018,35592732,0,,2,7,1,1,1
Q018-C015,Q018,31043740,0,,8,3,1,1,1
Q018-C016,Q018,34123476,0,,1,1,1,1,1
Q018-C017,Q018,37823709,0,,4,,1,1,1
Q018-C018,Q018,34183838,0,,10,5,1,1,1
Q018-C019,Q018,36605194,1,2,,,0,1,1
Q018-C020,Q018,39214611,0,,,,1,1,1
Q018-C021,Q018,37304306,1,1,,,0,1,1
Q018-C022,Q018,24872026,0,,7,2,1,1,1
Q019-C001,Q019,20498498,1,1,1,1,1,1,1
Q019-C002,Q019,28758929,1,2,,,0,1,1
Q019-C003,Q019,20370672,0,,,,1,1,1
Q019-C004,Q019,24843689,1,1,,,0,1,1
Q019-C005,Q019,30293065,0,,,,1,1,1
Q019-C006,Q019,33671547,0,,5,5,1,1,1
Q019-C007,Q019,19664840,0,,9,9,1,1,1
Q019-C008,Q019,19753129,1,1,,,0,1,1
Q019-C009,Q019,37801761,0,,8,8,1,1,1
Q019-C010,Q019,23108307,0,,7,7,1,1,1
Q019-C011,Q019,26464753,0,,10,10,1,1,1
Q019-C012,Q019,36009862,0,,3,3,1,1,1
Q019-C013,Q019,20041267,1,2,,,0,1,1
Q019-C014,Q019,26654761,0,,4,4,1,1,1
Q019-C015,Q019,24044566,1,2,,,0,1,1
Q019-C016,Q019,19788607,1,2,,,0,1,1
Q019-C017,Q019,36753306,0,,,,1,1,1
Q019-C018,Q019,29416297,1,1,2,2,1,1,1
Q019-C019,Q019,23401753,1,2,,,0,1,1
Q019-C020,Q019,24249635,0,,,,1,1,1
Q019-C021,Q019,19355912,0,,6,6,1,1,1
Q019-C022,Q019,16989692,1,2,,,0,1,1
Q019-C023,Q019,30005625,0,,,,1,1,1
Q020-C001,Q020,23470835,0,,3,3,1,1,1
Q020-C002,Q020,29080811,1,1,,,0,1,1
Q020-C003,Q020,25974843,0,,,,1,1,1
Q020-C004,Q020,19898734,0,,5,5,1,1,1
Q020-C005,Q020,15778503,1,2,,,0,1,1
Q020-C006,Q020,35264832,0,,4,4,1,1,1
Q020-C007,Q020,41558580,0,,10,10,1,1,1
Q020-C008,Q020,15221492,1,2,,,0,1,1
Q020-C009,Q020,19335070,0,,9,7,1,1,1
Q020-C010,Q020,29788568,0,,6,6,1,1,1
Q020-C011,Q020,35982318,1,2,,,0,1,1
Q020-C012,Q020,26117992,1,2,,,0,1,1
Q020-C013,Q020,19419300,1,2,,,0,1,1
Q020-C014,Q020,26157576,0,,2,2,1,1,1
Q020-C015,Q020,39447984,0,,1,1,1,1,1
Q020-C016,Q020,19072724,1,2,,,0,1,1
Q020-C017,Q020,17118265,0,,7,8,1,1,1
Q020-C018,Q020,36713826,0,,8,9,1,1,1
Q020-C019,Q020,29963786,1,2,,,0,1,1
Q020-C020,Q020,23926379,1,1,,,0,1,1
Q021-C001,Q021,40429921,0,,6,5,1,1,1
Q021-C002,Q021,35069210,1,2,,,0,1,1
Q021-C003,Q021,33139635,1,2,,,0,1,1
Q021-C004,Q021,39676197,0,,1,7,1,1,1
Q021-C005,Q021,41203232,1,1,,,0,1,1
Q021-C006,Q021,38634653,0,,9,9,1,1,1
Q021-C007,Q021,28663934,1,1,,,0,1,1
Q021-C008,Q021,31936266,0,,8,8,1,1,1
Q021-C009,Q021,41285328,0,,5,4,1,1,1
Q021-C010,Q021,31333586,1,2,,,0,1,1
Q021-C011,Q021,36534320,0,,2,1,1,1,1
Q021-C012,Q021,39168099,1,2,,,0,1,1
Q021-C013,Q021,40829258,0,,10,10,1,1,1
Q021-C014,Q021,36986825,1,2,,,0,1,1
Q021-C015,Q021,36768138,0,,7,6,1,1,1
Q021-C016,Q021,36331190,1,1,,,0,1,1
Q021-C017,Q021,36513134,0,,4,3,1,1,1
Q021-C018,Q021,40279256,0,,3,2,1,1,1
Q022-C001,Q022,37904680,1,2,,,0,1,1
Q022-C002,Q022,33465490,1,2,,,0,1,1
Q022-C003,Q022,35860690,1,2,,,0,1,1
Q022-C004,Q022,38877789,1,1,,,0,1,1
Q022-C005,Q022,39334820,1,2,,,0,1,1
Q022-C006,Q022,40709209,1,1,,,0,1,1
Q022-C007,Q022,41154680,0,,1,1,1,1,1
Q022-C008,Q022,40243956,1,2,,,0,1,1
Q022-C009,Q022,38419608,1,2,,,0,1,1
Q023-C001,Q023,32322559,1,1,1,1,1,1,1
Q023-C002,Q023,30279729,0,,8,,1,1,1
Q023-C003,Q023,41129727,0,,7,8,1,1,1
Q023-C004,Q023,40225580,0,,,,1,1,1
Q023-C005,Q023,26861406,0,,5,5,1,1,1
Q023-C006,Q023,32735882,0,,,,1,1,1
Q023-C007,Q023,34589393,0,,9,,1,1,1
Q023-C008,Q023,39386828,0,,3,3,1,1,1
Q023-C009,Q023,40355012,0,,,,1,1,1
Q023-C010,Q023,24610352,1,2,,,0,1,1
Q023-C011,Q023,30737895,0,,6,7,1,1,1
Q023-C012,Q023,38476024,0,,,10,1,1,1
Q023-C013,Q023,26057751,1,2,4,4,1,1,1
Q023-C014,Q023,31933745,0,,,9,1,1,1
Q023-C015,Q023,28076840,1,2,,,0,1,1
Q023-C016,Q023,23979441,1,2,,,0,1,1
Q023-C017,Q023,38904007,0,,10,6,1,1,1
Q023-C018,Q023,26819207,1,2,,,0,1,1
Q023-C019,Q023,19778933,1,1,,,0,1,1
Q023-C020,Q023,34905218,0,,2,2,1,1,1
Q023-C021,Q023,38238426,1,2,,,0,1,1
Q024-C001,Q024,25469313,0,,3,1,1,1,1
Q024-C002,Q024,35289496,0,,,10,1,1,1
Q024-C003,Q024,27335248,0,,4,2,1,1,1
Q024-C004,Q024,32684523,0,,7,5,1,1,1
Q024-C005,Q024,38951811,0,,10,8,1,1,1
Q024-C006,Q024,37948991,0,,,,1,1,1
Q024-C007,Q024,28943430,1,2,,,0,1,1
Q024-C008,Q024,31939626,0,,8,6,1,1,1
Q024-C009,Q024,35164786,0,,,,1,1,1
Q024-C010,Q024,26885254,1,1,,,0,1,1
Q024-C011,Q024,38501359,0,,,,1,1,1
Q024-C012,Q024,31129811,0,,1,9,1,1,1
Q024-C013,Q024,29533735,0,,9,7,1,1,1
Q024-C014,Q024,28644396,1,2,,,0,1,1
Q024-C015,Q024,33096960,0,,5,3,1,1,1
Q024-C016,Q024,32059748,1,2,,,0,1,1
Q024-C017,Q024,25470749,1,2,,,0,1,1
Q024-C018,Q024,15526274,1,2,,,0,1,1
Q024-C019,Q024,40599055,0,,2,,1,1,1
Q024-C020,Q024,26096280,1,2,,,0,1,1
Q024-C021,Q024,34645714,0,,6,4,1,1,1
Q024-C022,Q024,29094227,0,,,,1,1,1
Q025-C001,Q025,26380303,1,1,,,0,1,1
Q025-C002,Q025,25312642,1,2,,,0,1,1
Q025-C003,Q025,22381526,1,2,,,0,1,1
Q025-C004,Q025,19897286,0,,2,3,1,1,1
Q025-C005,Q025,28192862,0,,4,4,1,1,1
Q025-C006,Q025,34680483,1,1,,,0,1,1
Q025-C007,Q025,26803842,0,,3,2,1,1,1
Q025-C008,Q025,21842588,1,2,,,0,1,1
Q025-C009,Q025,17380205,1,2,1,1,1,1,1
Q025-C010,Q025,32224496,1,1,,,0,1,1
Q026-C001,Q026,40510181,0,,9,8,1,1,1
Q026-C002,Q026,35953929,1,1,4,3,1,1,1
Q026-C003,Q026,36326134,0,,5,4,1,1,1
Q026-C004,Q026,36810115,0,,,,1,1,1
Q026-C005,Q026,32422994,1,2,,,0,1,1
Q026-C006,Q026,22731715,1,2,,,0,1,1
Q026-C007,Q026,36709599,0,,,,1,1,1
Q026-C008,Q026,40469511,0,,,,1,1,1
Q026-C009,Q026,31141995,1,1,,,0,1,1
Q026-C010,Q026,28654658,1,1,,,0,1,1
Q026-C011,Q026,33803334,1,2,,,0,1,1
Q026-C012,Q026,34959809,1,2,,,0,1,1
Q026-C013,Q026,36831324,0,,10,9,1,1,1
Q026-C014,Q026,41300111,0,,8,7,1,1,1
Q026-C015,Q026,22684624,1,2,,,0,1,1
Q026-C016,Q026,41651593,0,,3,2,1,1,1
Q026-C017,Q026,39286812,0,,7,6,1,1,1
Q026-C018,Q026,35573092,1,2,,,0,1,1
Q026-C019,Q026,39461239,0,,,,1,1,1
Q026-C020,Q026,40885307,0,,6,5,1,1,1
Q026-C021,Q026,40674913,0,,1,,1,1,1
Q026-C022,Q026,38061697,0,,,10,1,1,1
Q026-C023,Q026,40917749,0,,2,1,1,1,1
Q027-C001,Q027,40822954,0,,,6,1,1,1
Q027-C002,Q027,35399300,1,2,,,0,1,1
Q027-C003,Q027,28070798,0,,,,1,1,1
Q027-C004,Q027,41226614,0,,3,3,1,1,1
Q027-C005,Q027,26593863,0,,9,,1,1,1
Q027-C006,Q027,37241088,1,2,,,0,1,1
Q027-C007,Q027,23065592,0,,,,1,1,1
Q027-C008,Q027,34621381,0,,,,1,1,1
Q027-C009,Q027,23894780,0,,4,4,1,1,1
Q027-C010,Q027,29765404,1,1,,,0,1,1
Q027-C011,Q027,24563883,0,,5,5,1,1,1
Q027-C012,Q027,27186560,1,2,,,0,1,1
Q027-C013,Q027,29026419,1,2,,,0,1,1
Q027-C014,Q027,27018618,0,,10,,1,1,1
Q027-C015,Q027,27043843,0,,6,7,1,1,1
Q027-C016,Q027,37513592,1,1,,,0,1,1
Q027-C017,Q027,36916543,0,,7,8,1,1,1
Q027-C018,Q027,28092021,0,,8,9,1,1,1
Q027-C019,Q027,21278761,0,,2,2,1,1,1
Q027-C020,Q027,38284726,1,2,,,0,1,1
Q027-C021,Q027,32666762,0,,1,1,1,1,1
Q027-C022,Q027,34015387,0,,,10,1,1,1
Q028-C001,Q028,29115423,0,,8,8,1,1,1
Q028-C002,Q028,29108234,0,,4,3,1,1,1
Q028-C003,Q028,29455644,1,2,,,0,1,1
Q028-C004,Q028,26202948,0,,9,9,1,1,1
Q028-C005,Q028,19850869,1,2,,,0,1,1
Q028-C006,Q028,16226704,1,2,,,0,1,1
Q028-C007,Q028,35402265,1,2,,,0,1,1
Q028-C008,Q028,15225643,1,1,,,0,1,1
Q028-C009,Q028,21511051,0,,6,5,1,1,1
