question_id,pmid,relevance
Q007,33072104,2
Q007,34635393,2
Q007,27757507,1
Q007,22324470,2
Q007,37670700,2
Q007,34875227,2
Q007,39875232,1
Q007,37579542,1
Q008,35276841,2
Q008,40247380,1
Q008,40824057,1
Q008,22649552,2
Q008,27588407,2
Q008,35743652,1
Q008,30546102,2
Q008,28155088,2
Q008,35160099,2
Q008,37546931,2
Q008,35449374,2
Q008,31636470,1
Q008,36600119,2
Q008,38179971,2
Q008,23788646,2
Q008,38554847,2
Q008,38073491,2
Q008,32326161,1
Q008,26549988,2
Q009,18835816,1
Q009,34821076,2
Q009,28122601,1
Q009,40536399,2
Q009,29897957,2
Q009,40296760,2
Q009,41344510,1
Q009,21388555,0
Q009,32885495,2
Q009,39122555,2
Q009,33523949,1
Q009,35565236,1
Q009,41521250,2
Q009,40617409,2
Q009,26972840,0
Q009,40391687,2
Q009,27330885,1
Q009,31114509,1
Q009,39713478,1
Q009,36588738,2
Q009,39381601,0
Q009,24058805,1
Q009,33601387,2
Q010,33339654,1
Q010,28158288,1
Q010,31661767,1
Q010,27492554,2
Q010,35909545,1
Q010,40350835,2
Q010,41196108,2
Q010,24956021,1
Q010,34854397,1
Q010,33426313,1
Q010,31131457,0
Q010,28361330,0
Q010,30827108,2
Q010,38795694,2
Q010,40358879,2
Q010,29904399,2
Q010,40024453,2
Q010,40266676,2
Q010,41961168,2
Q010,31971108,1
Q011,24750786,1
Q011,31489252,1
Q011,29167573,2
Q011,25456211,2
Q011,34607979,2
Q011,25710562,1
Q011,29662316,0
Q011,34576192,1
Q011,24858012,2
Q011,33886150,1
Q011,37371530,1
Q011,29554968,2
Q011,40140842,1
Q011,20135346,2
Q011,30445633,2
Q011,26277279,1
Q011,35072253,1
Q011,24009772,1
Q011,34062070,1
Q011,31205529,2
Q011,35731713,1
Q011,29465545,0
Q012,38695373,1
Q012,11755003,2
Q012,30874945,1
Q012,39725872,1
Q012,32087283,1
Q012,30087595,1
Q012,28127589,1
Q012,35130907,1
Q012,39322063,1
Q012,35264247,2
Q012,31822279,2
Q012,36835494,1
Q012,29669582,1
Q012,34813026,1
Q012,38507186,1
Q012,38098004,2
Q012,26207229,1
Q012,40640358,1
Q012,39800461,1
Q012,38824976,1
Q012,40651688,1
Q012,31001075,1
Q012,16055942,2
Q012,31580243,1
Q013,36982171,2
Q013,29530884,2
Q013,38513436,2
Q013,35930089,2
Q013,31479722,0
Q013,39565386,2
Q013,36205734,0
Q013,36017088,2
Q013,41760861,1
Q014,39867028,0
Q014,28199814,0
Q014,32561292,2
Q014,27931982,2
Q014,31375130,1
Q014,34630419,1
Q014,37014106,2
Q014,30002661,2
Q014,24453498,0
Q014,33741556,2
Q014,35631449,2
Q014,39354368,1
Q015,33684134,2
Q015,35420680,2
Q015,9437185,1
Q015,32735131,1
Q015,33077917,1
Q015,39599792,1
Q015,39945674,2
Q015,36265412,1
Q015,33063256,1
Q015,33323111,1
Q015,34177896,1
Q016,33353564,2
Q016,26643950,1
Q016,19437551,2
Q016,27488123,2
Q016,26586529,2
Q016,36849544,2
Q016,27111068,1
Q016,39264856,1
Q016,36142791,2
Q016,39901351,2
Q016,36604149,2
Q017,21170047,2
Q017,26309584,2
Q017,23981082,1
Q017,23333143,2
Q017,23726091,2
Q017,22285300,2
Q017,34415683,2
Q017,21806387,2
Q017,21900914,1
Q017,31772608,2
Q017,29352151,2
Q017,27380588,2
Q017,23698643,2
Q017,28135763,2
Q017,29408797,1
Q017,23260377,2
Q017,39327966,2
Q017,20801494,2
Q017,36891827,2
Q017,19106084,2
Q017,19106083,2
Q017,23150151,2
Q018,40198121,2
Q018,36776862,2
Q018,39023770,1
Q018,40594755,2
Q018,39039301,1
Q018,42162235,1
Q018,33912454,0
Q018,38996350,1
Q018,33257470,2
Q018,36351411,2
Q018,37872166,2
Q018,35047501,2
Q018,41718716,2
Q018,35592732,2
Q018,31043740,2
Q018,34123476,1
Q018,37823709,2
Q018,34183838,1
Q018,36605194,2
Q018,39214611,1
Q018,37304306,2
Q018,24872026,1
Q019,20498498,2
Q019,28758929,2
Q019,20370672,1
Q019,24843689,2
Q019,30293065,1
Q019,33671547,2
Q019,19664840,2
Q019,19753129,2
Q019,37801761,1
Q019,23108307,2
Q019,26464753,2
Q019,36009862,2
Q019,20041267,2
Q019,26654761,2
Q019,24044566,2
Q019,19788607,2
Q019,36753306,1
Q019,29416297,2
Q019,23401753,2
Q019,24249635,1
Q019,19355912,2
Q019,16989692,2
Q019,30005625,1
Q020,23470835,1
Q020,29080811,1
Q020,25974843,2
Q020,19898734,2
Q020,15778503,2
Q020,35264832,2
Q020,41558580,2
Q020,15221492,2
Q020,19335070,1
Q020,29788568,1
Q020,35982318,2
Q020,26117992,2
Q020,19419300,2
Q020,26157576,1
Q020,39447984,2
Q020,19072724,1
Q020,17118265,2
Q020,36713826,1
Q020,29963786,2
Q020,23926379,2
Q021,40429921,0
Q021,35069210,2
Q021,33139635,2
Q021,39676197,1
Q021,41203232,1
Q021,38634653,1
Q021,28663934,1
Q021,31936266,2
Q021,41285328,2
Q021,31333586,2
Q021,36534320,2
Q021,39168099,2
Q021,40829258,1
Q021,36986825,2
Q021,36768138,2
Q021,36331190,1
Q021,36513134,2
Q021,40279256,2
Q022,37904680,2
Q022,33465490,2
Q022,35860690,2
Q022,38877789,1
Q022,39334820,2
Q022,40709209,2
Q022,41154680,1
Q022,40243956,2
Q022,38419608,1
Q023,32322559,2
Q023,30279729,2
Q023,41129727,2
Q023,40225580,1
Q023,26861406,2
Q023,32735882,1
Q023,34589393,0
Q023,39386828,1
Q023,40355012,1
Q023,24610352,2
Q023,30737895,2
Q023,38476024,1
Q023,26057751,2
Q023,31933745,1
Q023,28076840,2
Q023,23979441,2
Q023,38904007,2
Q023,26819207,1
Q023,19778933,1
Q023,34905218,1
Q023,38238426,1
Q024,25469313,2
Q024,35289496,2
Q024,27335248,2
Q024,32684523,2
Q024,38951811,2
Q024,37948991,1
Q024,28943430,2
Q024,31939626,2
Q024,35164786,2
Q024,26885254,1
Q024,38501359,2
Q024,31129811,2
Q024,29533735,2
Q024,28644396,2
Q024,33096960,2
Q024,32059748,2
Q024,25470749,2
Q024,15526274,2
Q024,40599055,2
Q024,26096280,2
Q024,34645714,2
Q024,29094227,2
Q025,26380303,1
Q025,25312642,2
Q025,22381526,2
Q025,19897286,1
Q025,28192862,1
Q025,34680483,2
Q025,26803842,1
Q025,21842588,2
Q025,17380205,2
Q025,32224496,1
Q026,40510181,2
Q026,35953929,2
Q026,36326134,2
Q026,36810115,1
Q026,32422994,2
Q026,22731715,1
Q026,36709599,2
Q026,40469511,2
Q026,31141995,2
Q026,28654658,2
Q026,33803334,2
Q026,34959809,1
Q026,36831324,0
Q026,41300111,2
Q026,22684624,2
Q026,41651593,1
Q026,39286812,1
Q026,35573092,1
Q026,39461239,2
Q026,40885307,2
Q026,40674913,1
Q026,38061697,1
Q026,40917749,1
Q027,40822954,2
Q027,35399300,2
Q027,28070798,2
Q027,41226614,2
Q027,26593863,1
Q027,37241088,2
Q027,23065592,1
Q027,34621381,1
Q027,23894780,2
Q027,29765404,1
Q027,24563883,2
Q027,27186560,2
Q027,29026419,2
Q027,27018618,2
Q027,27043843,2
Q027,37513592,2
Q027,36916543,2
Q027,28092021,1
Q027,21278761,2
Q027,38284726,2
Q027,32666762,2
Q027,34015387,1
Q028,29115423,1
Q028,29108234,2
Q028,29455644,2
Q028,26202948,1
Q028,19850869,2
Q028,16226704,2
Q028,35402265,1
Q028,15225643,1
Q028,21511051,1
Q028,18454859,1
Q028,42191394,0
Q028,36938944,0
Q028,40603821,0
Q028,16854453,1
Q028,28938696,1
Q028,28871105,2
Q029,11927518,2
Q029,34272458,2
Q029,38001470,1
Q029,37107335,1
Q029,42065920,2
Q029,39119148,2
Q029,40418230,1
Q029,41587514,2
Q029,35642067,1
Q029,40113668,0
Q029,40681353,1
Q029,19036896,1
Q029,37259606,1
Q030,28445690,2
Q030,23123365,0
Q030,39089535,2
Q030,32158005,0
Q030,41443481,2
Q030,41090786,2
Q030,40264292,2
Q030,21145432,1
Q030,30104698,2
Q030,21872339,2
Q030,29489077,2
Q030,38820411,2
Q030,19188531,2
Q030,39615605,2
Q030,41373743,1
Q030,37264010,2
Q030,26065825,2
Q030,31427752,2
Q030,41226404,2
Q030,35163538,2
Q030,27885969,0
Q031,38590314,2
Q031,19720210,2
Q031,30194992,2
Q031,31509236,2
Q031,16990802,2
Q031,29528494,2
Q031,29467325,2
Q031,40484710,1
Q031,31182684,2
Q031,37120405,1
Q031,33233866,2
Q031,41155460,2
Q031,40649943,2
Q031,29676067,2
Q031,35216228,2
Q031,39202657,2
Q031,31902917,2
Q031,33368555,1
Q031,16550169,2
Q031,40985485,2
Q031,32610574,0
Q031,32751111,2
Q032,18328887,2
Q032,38579176,1
Q032,41919890,2
Q032,30364003,1
Q032,30323811,1
Q032,27931975,1
Q032,33013361,2
Q032,37834157,1
Q032,40257546,2
Q032,19075788,2
Q032,15032597,2
Q032,12170265,1
Q033,35075250,1
Q033,35646542,2
Q033,38756248,2
Q033,33869196,2
Q033,38871948,2
Q033,38351696,2
Q033,34129254,2
Q033,34607160,2
Q033,42173841,2
Q033,36703745,1
Q033,30081711,2
Q033,36370962,2
Q033,36398583,2
Q033,36029649,2
Q033,34864819,2
Q033,35785548,2
Q033,41351245,2
Q033,34522161,1
Q033,29957462,2
Q034,41601934,2
Q034,33072401,1
Q034,16728325,1
Q034,26054568,2
Q034,41199318,1
Q034,34293080,1
Q034,28993218,1
Q034,23704522,2
Q034,15544519,2
Q034,26935357,0
Q034,24319628,2
Q034,32923607,1
Q034,31005756,1
Q034,40752455,2
Q034,31866994,1
Q034,40528841,1
Q034,33640465,2
Q034,37958563,1
Q034,9626050,1
Q034,41789111,1
Q034,21584427,2
Q035,38881451,1
Q035,35524726,1
Q035,40277933,1
Q035,34904366,2
Q035,32450920,2
Q035,42166024,1
Q035,35658936,2
Q035,37468473,2
Q035,28143833,1
Q035,41291782,1
Q035,31838837,1
Q036,21793854,1
Q036,34942962,1
Q036,33515348,1
Q036,31092832,2
Q036,37701897,1
Q036,29326403,2
Q036,26881038,1
Q036,21391649,2
Q036,40243461,1
Q036,21060289,1
Q036,37571283,1
Q036,34518768,2
Q036,37468211,1
Q036,22752583,1
Q036,31480567,1
Q036,26165427,1
Q036,31112588,2
Q036,31078267,2
Q036,23581983,1
Q036,32664226,1
Q036,31475364,2
Q037,29052129,2
Q037,29970455,1
Q037,30611768,2
Q037,38064540,2
Q037,24927147,1
Q037,23276797,2
Q037,20413301,2
Q037,35203390,2
Q037,32839523,1
Q037,40544269,2
Q037,20485626,2
Q037,32170761,2
Q037,39290403,2
Q037,16461228,2
Q037,28097530,2
Q037,33563643,2
Q037,22962577,2
Q037,36661665,1
Q037,25646384,2
Q037,27658781,2
Q038,17316459,1
Q038,23007741,1
Q038,19798028,1
Q038,29149648,2
Q038,27612450,1
Q038,27598995,2
Q038,34335888,0
Q038,38232664,2
Q038,30954617,2
Q038,21435232,2
Q038,15020327,2
Q038,34122118,2
Q038,10693863,2
Q038,29422077,2
Q038,10765926,2
Q038,22867712,2
Q038,15972960,2
Q038,28286757,2
Q038,26189496,1
Q039,39844795,2
Q039,20172535,1
Q039,38680011,2
Q039,38221533,2
Q039,25451089,1
Q039,41106100,2
Q039,40816580,2
Q039,38057644,2
Q039,37948105,2
Q039,20186711,2
Q039,27457814,1
Q039,40791036,1
Q039,21774990,1
Q039,28215294,1
Q039,26519901,2
Q039,22880079,1
Q039,16501568,1
Q039,30134168,1
Q039,33096634,2
Q039,26275358,1
Q039,37799103,2
Q039,32351365,2
Q039,23684954,1
Q039,23704927,1
Q039,26662461,1
Q040,41567211,2
Q040,34069772,2
Q040,41184283,2
Q040,28451792,1
Q040,41630031,2
Q040,32391119,1
Q040,38481800,0
Q040,39990209,1
Q040,32046984,1
Q040,36864508,1
Q041,41285328,2
Q041,36513134,1
Q041,38634653,1
Q041,34918381,2
Q041,33139635,2
Q041,35069210,2
Q041,36986825,2
Q041,36331190,0
Q041,39676197,1
Q041,40429921,0
Q041,32970396,0
Q041,40279256,1
Q041,31936266,1
Q041,36534320,2
Q041,36768138,2
Q041,39168099,2
Q041,40829258,1
Q042,25092341,1
Q042,21982596,1
Q042,22949320,2
Q042,25039885,1
Q042,29203226,2
Q042,29922283,1
Q042,20929536,1
Q042,40676520,1
Q042,38168103,0
Q042,19644886,1
Q042,20200272,1
Q043,40541122,2
Q043,39026249,2
Q043,35642214,0
Q043,34828359,2
Q043,32958021,2
Q043,39407211,2
Q043,34080771,2
Q043,31359456,2
Q043,32929691,1
Q043,23686772,1
Q043,41571675,2
Q043,36579934,2
Q043,35464490,2
Q043,37072933,2
Q043,41173224,2
Q043,39904338,2
Q043,39499013,2
Q043,26939933,2
Q043,31748742,2
Q043,23254930,2
Q043,34497121,1
Q044,29431520,2
Q044,27451102,0
Q044,20674311,2
Q044,32428778,2
Q044,20102704,1
Q044,37843843,2
Q044,31562952,1
Q044,31052341,1
Q044,41881903,1
Q044,25302702,1
Q044,23750556,1
Q044,28604618,2
Q045,41173224,2
Q045,34569615,1
Q045,40394225,2
Q045,36587502,2
Q045,41417476,2
Q045,42311464,2
Q045,33902708,2
Q045,29050859,1
Q045,39062586,1
Q045,40606832,2
Q045,40134421,2
Q045,41527082,2
Q045,41086442,1
Q045,34125470,2
Q045,34961526,2
Q045,41326666,1
Q045,27252647,1
Q045,28781108,1
Q045,42265098,2
Q046,15075340,0
Q046,24137428,0
Q046,12446774,0
Q046,28603543,1
Q046,26384306,0
Q046,29570984,0
Q046,29923368,0
Q046,12429935,0
Q046,40363725,0
Q046,16425280,0
Q046,33720241,1
Q047,27932986,1
Q047,16177189,1
Q047,22186243,1
Q048,29285799,1
Q048,33452455,1
Q048,38083808,1
Q048,33751250,1
Q048,38981361,1
Q048,36520091,1
Q048,32093031,1
Q048,40282232,0
Q048,40452254,1
Q048,40858633,1
Q048,12562498,1
Q048,35726597,1
Q048,37907083,1
Q048,32768192,1
Q048,30597617,1
Q048,35056817,1
Q048,26160841,1
Q048,28240263,1
Q048,38437643,0
Q049,35672400,1
Q049,34576234,2
Q049,35642214,0
Q049,30371263,1
Q049,38744811,1
Q049,32972203,1
Q049,21059352,1
Q049,29233682,1
Q049,30056242,1
Q049,40307543,1
Q049,29160304,2
Q049,30697920,2
Q049,32611237,1
Q049,27340270,1
Q049,35784531,1
Q049,39744939,2
Q049,28891814,1
Q049,37834293,1
Q049,34830222,1
Q049,30983140,2
Q049,23649149,1
Q049,33135058,1
Q049,37495732,2
Q050,33432923,2
Q050,41144501,2
Q050,41950603,2
Q050,33469043,2
Q050,31209247,2
Q050,33586672,2
Q050,31980603,2
Q050,29955622,2
Q050,32373553,1
Q050,35060590,2
Q050,40270955,2
Q050,34373550,1
Q050,22970248,1
