answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
Q006-C,Q006,kg_expansion_reranking_path_answer,3,5,4.6667,0,5,5,1,5,5,1,5,4.6667,0,5,5,1,5,5,1
Q006-D,Q006,traditional_text_rag,3,5,4.6667,0,4,4.3333,0,5,5,1,5,4.6667,0,5,5,1,4,4.3333,0
Q008-A,Q008,text_rag_kg_reranking,3,5,4.6667,0,5,4.6667,0,5,5,1,5,4.6667,0,5,4.6667,0,5,4.6667,0
Q008-B,Q008,traditional_text_rag,3,5,4.6667,0,4,4.3333,0,5,5,1,5,4.6667,0,5,5,1,5,5,1
Q008-C,Q008,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,4.3333,0,5,5,1,5,4.6667,0,5,4.6667,0,4,4.3333,0
Q008-D,Q008,closed_book_llm,3,4,4,1,5,4.6667,0,5,5,1,2,2.6667,0,4,4,1,3,3.3333,0
Q010-A,Q010,closed_book_llm,3,4,3.6667,0,4,4,1,5,5,1,3,2.6667,0,4,4.3333,0,4,3.6667,0
Q010-B,Q010,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,4,0,5,5,1,5,4.6667,0,5,4.6667,0,5,4.6667,0
Q010-C,Q010,traditional_text_rag,3,5,4.6667,0,5,4.6667,0,5,5,1,5,4.6667,0,5,5,1,5,5,1
Q010-D,Q010,text_rag_kg_reranking,3,5,4.6667,0,4,4,0,5,5,1,5,4.6667,0,5,4.6667,0,4,4.3333,0
Q011-A,Q011,closed_book_llm,3,5,5,1,5,5,1,5,5,1,4,3.6667,0,5,5,1,5,5,1
Q011-B,Q011,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,4,1,5,5,1,5,4.6667,0,5,4.6667,0,4,4.3333,0
Q011-C,Q011,traditional_text_rag,3,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
Q011-D,Q011,text_rag_kg_reranking,3,5,5,1,4,4.3333,0,5,5,1,5,5,1,5,5,1,4,4.3333,0
Q014-A,Q014,closed_book_llm,3,5,4.6667,0,5,4.6667,0,5,5,1,3,3,0,5,5,1,5,4.6667,0
Q014-B,Q014,kg_expansion_reranking_path_answer,3,5,4.6667,0,5,4.6667,0,5,5,1,5,4.6667,0,5,4.6667,0,5,4.6667,0
Q014-C,Q014,text_rag_kg_reranking,3,5,4.6667,0,5,4.6667,0,5,5,1,5,4.6667,0,5,4.6667,0,5,4.6667,0
Q014-D,Q014,traditional_text_rag,3,5,4.6667,0,5,5,1,5,5,1,5,4.6667,0,5,5,1,5,5,1
Q015-A,Q015,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,4.3333,0,5,5,1,4,4,0,5,4.6667,0,5,4.6667,0
Q015-B,Q015,text_rag_kg_reranking,3,5,4.6667,0,5,4.6667,0,5,5,1,4,4,0,5,4.6667,0,5,4.6667,0
Q015-C,Q015,traditional_text_rag,3,5,4.6667,0,4,4,1,5,5,1,4,4,0,5,4.6667,0,4,4.3333,0
Q015-D,Q015,closed_book_llm,3,4,4.3333,0,5,5,1,5,5,1,3,3.3333,0,5,4.6667,0,5,4.6667,0
Q016-A,Q016,traditional_text_rag,3,4,4.3333,0,4,4,0,5,4.6667,0,4,4.3333,0,4,4.3333,0,4,4,0
Q016-B,Q016,closed_book_llm,3,4,4,0,5,5,1,5,5,1,3,3,0,4,4.3333,0,5,4.3333,0
Q016-C,Q016,text_rag_kg_reranking,3,4,4.3333,0,4,4,0,5,4.6667,0,4,4.3333,0,4,4.3333,0,4,4.3333,0
Q016-D,Q016,kg_expansion_reranking_path_answer,3,4,4.3333,0,3,3.6667,0,5,4.6667,0,4,4.3333,0,4,4.3333,0,3,3.6667,0
Q021-A,Q021,text_rag_kg_reranking,3,5,4.6667,0,5,4.6667,0,5,5,1,5,4.6667,0,5,5,1,5,4.6667,0
Q021-B,Q021,closed_book_llm,3,4,4.3333,0,4,4.3333,0,5,5,1,3,3.3333,0,4,4.3333,0,4,4.3333,0
Q021-C,Q021,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,4.3333,0,5,5,1,5,4.6667,0,5,5,1,4,4.3333,0
Q021-D,Q021,traditional_text_rag,3,5,4.6667,0,4,4.3333,0,5,5,1,5,4.6667,0,5,5,1,4,4.3333,0
Q025-A,Q025,traditional_text_rag,3,4,4.3333,0,3,3.6667,0,5,4.6667,0,5,4.6667,0,5,4.6667,0,5,4.6667,0
Q025-B,Q025,kg_expansion_reranking_path_answer,3,4,4.3333,0,4,4.3333,0,5,4.6667,0,4,4.3333,0,5,4.6667,0,5,4.6667,0
Q025-C,Q025,closed_book_llm,3,5,4.6667,0,5,5,1,5,5,1,3,3,0,5,4.6667,0,5,4.3333,0
Q025-D,Q025,text_rag_kg_reranking,3,4,4.3333,0,3,3.6667,0,5,4.6667,0,5,4.6667,0,5,4.6667,0,4,4.3333,0
Q028-A,Q028,closed_book_llm,3,4,4.3333,0,5,5,1,5,5,1,3,3.3333,0,5,5,1,5,4.6667,0
Q028-B,Q028,traditional_text_rag,3,4,4.3333,0,4,4,0,5,5,1,4,4.3333,0,4,4.3333,0,4,4.3333,0
Q028-C,Q028,kg_expansion_reranking_path_answer,3,4,4,0,4,4,0,5,5,1,4,4.3333,0,4,4,0,4,4,0
Q028-D,Q028,text_rag_kg_reranking,3,5,4.6667,0,4,4,1,5,5,1,4,4.3333,0,5,4.6667,0,4,4,1
Q029-A,Q029,kg_expansion_reranking_path_answer,3,4,4.3333,0,4,4.3333,0,5,5,1,4,4,0,5,4.6667,0,5,4.6667,0
Q029-B,Q029,traditional_text_rag,3,4,4.3333,0,4,4.3333,0,5,5,1,4,4,0,5,4.6667,0,4,4.3333,0
Q029-C,Q029,text_rag_kg_reranking,3,4,4.3333,0,4,4.3333,0,5,5,1,4,4,0,5,4.6667,0,4,4.3333,0
Q029-D,Q029,closed_book_llm,3,5,4.3333,0,4,4,0,5,5,1,4,3.3333,0,5,4.6667,0,4,3.6667,0
Q037-A,Q037,closed_book_llm,3,5,5,1,5,5,1,5,5,1,3,3.3333,0,5,5,1,4,4,1
Q037-B,Q037,traditional_text_rag,3,5,5,1,5,4.6667,0,5,5,1,5,4.6667,0,5,5,1,5,5,1
Q037-C,Q037,text_rag_kg_reranking,3,5,5,1,5,5,1,5,5,1,5,4.6667,0,5,5,1,5,5,1
Q037-D,Q037,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,4,1,5,5,1,5,4.3333,0,4,4.3333,0,4,3.6667,0
Q041-A,Q041,text_rag_kg_reranking,3,5,4.6667,0,5,4.6667,0,5,5,1,5,4.3333,0,5,4.6667,0,5,4.6667,0
Q041-B,Q041,traditional_text_rag,3,4,4.3333,0,4,4.3333,0,5,5,1,4,4.3333,0,4,4.3333,0,4,4.3333,0
Q041-C,Q041,closed_book_llm,3,3,3.3333,0,4,3.6667,0,5,4.6667,0,2,2.6667,0,4,3.6667,0,3,3.3333,0
Q041-D,Q041,kg_expansion_reranking_path_answer,3,5,4.6667,0,5,5,1,5,5,1,5,4.6667,0,5,5,1,5,5,1
Q043-A,Q043,traditional_text_rag,3,5,4.6667,0,5,4.6667,0,5,5,1,5,4.3333,0,5,5,1,5,4.6667,0
Q043-B,Q043,closed_book_llm,3,4,4.3333,0,4,4.3333,0,5,5,1,4,3.3333,0,4,4.3333,0,4,4.3333,0
Q043-C,Q043,kg_expansion_reranking_path_answer,3,5,4.6667,0,5,5,1,5,5,1,5,4.3333,0,5,5,1,5,5,1
Q043-D,Q043,text_rag_kg_reranking,3,5,4.6667,0,4,4,1,5,5,1,5,4.6667,0,5,4.6667,0,4,4.3333,0
Q046-A,Q046,closed_book_llm,3,4,3.6667,0,5,4.6667,0,5,4.6667,0,4,3,0,5,4.3333,0,5,4.3333,0
Q046-B,Q046,text_rag_kg_reranking,3,5,4.6667,0,3,3.3333,0,5,4.6667,0,5,4.6667,0,4,4.3333,0,3,3.3333,0
Q046-C,Q046,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,3.6667,0,5,4.6667,0,5,4.6667,0,4,4.3333,0,4,3.6667,0
Q046-D,Q046,traditional_text_rag,3,5,4.6667,0,4,3.6667,0,5,4.6667,0,5,4.6667,0,4,4.3333,0,4,3.6667,0
Q047-A,Q047,text_rag_kg_reranking,3,5,5,1,4,4.3333,0,5,5,1,5,5,1,5,4.6667,0,4,4.3333,0
Q047-B,Q047,traditional_text_rag,3,5,5,1,4,4.3333,0,5,5,1,5,5,1,5,4.6667,0,4,4.3333,0
Q047-C,Q047,closed_book_llm,3,4,3.6667,0,4,4,0,4,4,0,4,3.3333,0,4,4,0,4,4,0
Q047-D,Q047,kg_expansion_reranking_path_answer,3,5,5,1,4,4,0,5,5,1,5,5,1,4,4.3333,0,3,3.6667,0
Q050-A,Q050,closed_book_llm,3,5,4.6667,0,5,4.6667,0,5,5,1,4,3.6667,0,5,4.6667,0,5,4.6667,0
Q050-B,Q050,traditional_text_rag,3,5,5,1,5,4.6667,0,5,5,1,5,4,0,5,5,1,5,4.6667,0
Q050-C,Q050,kg_expansion_reranking_path_answer,3,5,5,1,5,4.6667,0,5,5,1,5,4.3333,0,5,5,1,4,4.3333,0
Q050-D,Q050,text_rag_kg_reranking,3,5,5,1,4,4.3333,0,5,5,1,5,4,0,5,5,1,4,4.3333,0
