question_id,path_id,old_rank,new_rank,names,base_score,anchor_bonus,reranked_score,anchor_features
Q001,Q001-P11,11,11,icariin -> ibsp,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P12,12,12,icariin -> pparg,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P13,13,13,icariin -> runx2,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P14,14,14,icariin -> onfh,0.763,0.0,0.763,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P15,15,15,icariin -> ctnnb1,0.758,0.0,0.758,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P16,16,16,icariin -> mitf,0.758,0.0,0.758,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P17,17,17,icariin -> lrp5,0.758,0.0,0.758,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P18,18,18,icariin -> mmp3,0.758,0.0,0.758,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P19,19,19,icariin -> rab27a,0.758,0.0,0.758,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q001,Q001-P20,20,20,icariin -> tcf7,0.758,0.0,0.758,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene"", ""MESH:C056599_Chemical""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""], ""mechanism_requested"": true, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""MESH:C056599_Chemical""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""100314182_Gene"", ""387171_Gene"", ""387211_Gene""]}"
Q007,Q007-P01,1,1,il17a -> autoimmune diseases,1.059,0.04,1.099,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": true, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P02,2,2,il17a -> inflammation,1.059,0.0,1.059,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P03,3,3,il17a -> arthritis rheumatoid,0.958,0.0,0.958,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P04,4,4,il17a -> psoriasis,0.958,0.0,0.958,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P05,5,5,il17a -> lupus erythematosus systemic,0.875,0.0,0.875,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P06,6,6,il17a -> ixekizumab,0.843,0.0,0.843,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P07,7,7,il17a -> secukinumab,0.843,0.0,0.843,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P08,8,8,il17a -> il23a,0.834,0.0,0.834,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P09,9,9,il17a -> neoplasms,0.782,0.0,0.782,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P10,10,10,il17a -> multiple sclerosis,0.778,0.0,0.778,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P11,11,11,il17a -> bimekizumab,0.771,0.0,0.771,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P12,12,12,il17a -> brodalumab,0.771,0.0,0.771,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P13,13,13,il17a -> rorgammat,0.771,0.0,0.771,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P14,14,14,il17f -> inflammation,0.767,0.0,0.767,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": true, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P15,15,15,il17f -> saa1,0.767,0.0,0.767,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P16,16,16,il17f -> saa2,0.767,0.0,0.767,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P17,17,17,il17a -> saa1,0.766,0.0,0.766,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P18,18,18,il17a -> saa2,0.766,0.0,0.766,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P19,19,19,il17a -> cd4,0.766,0.0,0.766,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
Q007,Q007-P20,20,20,il17a -> inflammatory bowel diseases,0.748,0.0,0.748,"{""bridge_matches_mechanism_context"": false, ""context_anchor_ids"": [""112744_Gene"", ""16171_Gene"", ""257630_Gene"", ""3605_Gene"", ""MESH:D001327_Disease""], ""end_matches_query_focus"": false, ""mechanism_anchor_ids"": [], ""mechanism_requested"": false, ""path_spans_multiple_anchor_types"": false, ""source_anchor_ids"": [""112744_Gene""], ""start_matches_query_focus"": false, ""target_anchor_ids"": [""MESH:D001327_Disease""]}"
