question_id,domain,question,question_type,expected_concepts,gold_pmids,minimum_answer_criteria,curator_notes
Q009,pharmacology,Which chemicals have evidence for modulating the JAK/STAT pathway in skeletal muscle contexts?,retrieval,JAK/STAT; skeletal muscle; JAK2; STAT3; AG490; C188-9; sulforaphane; inhibitors,31114509;18835816;28122601;24058805;40391687;36588738;39713478;21388555;41521250,"Ranks chemicals/interventions and indicates whether evidence concerns regeneration, differentiation, or wasting.",Curated seed includes some recent articles; rerun before final because 2025-2026 records may change. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q014,autoimmune disease,Which JAK inhibitors have evidence for modulating IL-6 or interferon signaling in rheumatoid arthritis?,retrieval,rheumatoid arthritis; JAK inhibitor; tofacitinib; baricitinib; IL-6; interferon,30002661;27931982;35631449;34630419;28199814;39867028;37014106;24453498,Ranks drugs and evidence by human clinical vs mechanistic studies.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q017,pharmacogenomics,Which genes are associated with clopidogrel response or resistance?,retrieval,clopidogrel; CYP2C19; ABCB1; PON1; platelet reactivity,19106084;19106083;20801494;21170047;23698643;31772608;26309584;27380588;21900914;28135763,Returns gene-drug response evidence and labels clinical pharmacogenomic support.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q049,systematic retrieval,Which PMIDs directly study the relationship between TGF-beta signaling and cardiac fibrosis in humans?,retrieval,TGF-beta; cardiac fibrosis; human; myocardium,37495732;30983140;30697920;29233682;34576234;30371263;28891814;21059352,Prioritizes direct human cardiac fibrosis evidence and excludes unrelated fibrosis contexts.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q012,neuroinflammation,Which cytokines mediate microglial activation in Alzheimer's disease models?,association,microglia; Alzheimer's disease; IL-1beta; TNF-alpha; IL-6; neuroinflammation,31822279;11755003;35264247;38098004;16055942;31001075;30087595;26207229;31580243,Lists cytokines with model type and cited PMIDs.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q019,metabolism,Which adipokines connect obesity to nonalcoholic fatty liver disease?,association,obesity; NAFLD; adiponectin; leptin; resistin; inflammation,28758929;16989692;20041267;24044566;19788607;23401753;24843689;19753129;29416297;20498498,Ranks adipokines with human vs animal evidence labels.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q026,gastroenterology,Which microbiome metabolites are linked to intestinal barrier integrity?,association,microbiome; short-chain fatty acids; butyrate; intestinal barrier; tight junction,35573092;22684624;22731715;32422994;33803334;34959809;28654658;31141995;35953929,Reports metabolites and evidence contexts without overgeneralizing across diseases.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q032,pulmonology,Which cytokines link asthma exacerbation to airway remodeling?,association,asthma; airway remodeling; IL-13; IL-17; TGF-beta; eosinophils,19075788;12170265;27931975;40257546;30323811;33013361;15032597;18328887,Reports cytokines with human vs animal evidence labels.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q018,immuno-oncology,What mechanisms link PD-1 blockade to immune-related adverse events?,hypothesis,PD-1; immune checkpoint inhibitor; adverse events; T cells; autoimmunity; cytokines,36605194;35047501;36776862;36351411;33257470;37872166;37304306,Generates testable mechanisms and separates clinical association from mechanistic evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q025,neuromuscular disease,What candidate mechanisms connect Duchenne muscular dystrophy to chronic inflammation?,hypothesis,DMD; dystrophin; inflammation; NF-kB; macrophage; fibrosis,17380205;21842588;25312642;22381526;26380303;32224496;34680483,Produces hypotheses with testable predictions and model labels.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q040,cancer metabolism,Which metabolic pathways connect KRAS mutation to immune evasion?,hypothesis,KRAS; immune evasion; metabolism; lactate; PD-L1; tumor microenvironment,28451792;32391119;32046984;41567211;34069772;41184283;36864508;38481800;39990209,Generates testable hypotheses and flags speculative multi-hop links.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q015,infectious disease,What host genes form a plausible 2-hop path between SARS-CoV-2 infection and coagulation abnormalities?,two_hop_path,SARS-CoV-2; coagulation; endothelial injury; tissue factor; complement; cytokines,33684134;39945674;35420680;39599792;33077917;33323111;33063256;9437185,Reports mediated paths and avoids inferring causality from co-occurrence alone.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q028,oncology,Which genes mediate a 2-hop path between EGFR activation and resistance to apoptosis?,two_hop_path,EGFR; apoptosis resistance; PI3K; AKT; BCL2; ERK; cancer,35402265;16226704;19850869;29455644;18454859;15225643;28871105,Reports path confidence and per-edge PMID support.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q035,aging biology,What candidate 2-hop paths connect senolytics to improved tissue regeneration?,two_hop_path,senolytic; senescence; regeneration; SASP; stem cell; inflammation,34904366;37468473;35658936;41291782;28143833;35524726;40277933;31838837,Labels speculative paths and provides weakest-link evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q043,cross-species,Which claims about NLRP3 inflammasome activation in Alzheimer's disease are supported by human evidence versus mouse models?,cross_species,NLRP3; Alzheimer's disease; inflammasome; microglia; human; mouse,23254930;36579934;34828359;26939933;31359456;35464490;23686772;32929691,"Explicitly labels human, animal, and in vitro evidence.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q044,cross-species,"Does resveratrol improve endothelial function in humans, or is the evidence mainly preclinical?",cross_species,resveratrol; endothelial function; human; preclinical; nitric oxide,37843843;20674311;29431520;28604618;25302702;23750556;20102704;31052341,Separates human trial evidence from animal/cell mechanistic evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q010,multilingual,請找出與骨質疏鬆、miRNA、天然物治療相關的可能機制。,multilingual_mechanism,osteoporosis; miRNA; natural product; icariin; osteogenesis; Runx2; PI3K/Akt,29904399;24956021;33426313;35909545;34854397;33339654;31661767;31971108,"Chinese answer should preserve biomedical terms, cite PMIDs, and separate direct evidence from hypothesis.",Curated seed designed to test CJK query translation and Chinese response quality. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q041,multilingual,請找出 SGLT2 抑制劑可能保護腎臟的抗發炎或抗纖維化機制。,multilingual_mechanism,SGLT2 inhibitor; kidney inflammation; fibrosis; empagliflozin; dapagliflozin,32970396;36331190;36986825;39168099;35069210;33139635;34918381;36534320,Chinese answer should cite PMIDs and separate clinical outcomes from mechanism.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
