answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
Q021-A,Q021,traditional_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q021-B,Q021,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q021-C,Q021,general_llm,1,4,4,1,4,4,1,5,5,1,3,3,1,4,4,1,4,4,1
Q025-A,Q025,traditional_rag,1,4,4,1,3,3,1,5,5,1,4,4,1,4,4,1,4,4,1
Q025-B,Q025,general_llm,1,4,4,1,5,5,1,5,5,1,3,3,1,5,5,1,4,4,1
Q025-C,Q025,netmedex_hybrid_rag,1,4,4,1,4,4,1,5,5,1,4,4,1,5,5,1,5,5,1
Q028-A,Q028,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,4,4,1,4,4,1
Q028-B,Q028,traditional_rag,1,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,4,4,1
Q028-C,Q028,general_llm,1,4,4,1,4,4,1,5,5,1,2,2,1,5,5,1,4,4,1
Q029-A,Q029,traditional_rag,1,4,4,1,5,5,1,5,5,1,3,3,1,5,5,1,5,5,1
Q029-B,Q029,general_llm,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,4,4,1
Q029-C,Q029,netmedex_hybrid_rag,1,4,4,1,4,4,1,5,5,1,3,3,1,4,4,1,4,4,1
Q037-A,Q037,traditional_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q037-B,Q037,netmedex_hybrid_rag,1,5,5,1,4,4,1,5,5,1,3,3,1,5,5,1,4,4,1
Q037-C,Q037,general_llm,1,5,5,1,4,4,1,5,5,1,2,2,1,5,5,1,3,3,1
Q041-A,Q041,traditional_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q041-B,Q041,general_llm,1,4,4,1,3,3,1,5,5,1,2,2,1,4,4,1,3,3,1
Q041-C,Q041,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q043-A,Q043,traditional_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q043-B,Q043,general_llm,1,4,4,1,3,3,1,5,5,1,2,2,1,4,4,1,3,3,1
Q043-C,Q043,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q046-A,Q046,netmedex_hybrid_rag,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1
Q046-B,Q046,general_llm,1,4,4,1,3,3,1,4,4,1,2,2,1,3,3,1,3,3,1
Q046-C,Q046,traditional_rag,1,4,4,1,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1
Q047-A,Q047,traditional_rag,1,4,4,1,3,3,1,5,5,1,4,4,1,4,4,1,3,3,1
Q047-B,Q047,general_llm,1,4,4,1,5,5,1,5,5,1,3,3,1,4,4,1,4,4,1
Q047-C,Q047,netmedex_hybrid_rag,1,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,3,3,1
Q050-A,Q050,traditional_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,4,4,1,5,5,1
Q050-B,Q050,general_llm,1,4,4,1,3,3,1,5,5,1,2,2,1,4,4,1,3,3,1
Q050-C,Q050,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
