question_id,path_id,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,relevance,path_type,is_negative_control,evidence_level_1,evidence_level_2,bridge_valid,direction_verified,notes
Q005,Q005-P02,amyloid-beta,ad,mitochondrial dysfunction,causes,associated_with,forward,undirected,33476985;35522844,1,two_hop,0,"PMID 33476985 states mitochondrial damage has been related to amyloid-beta pathology, and that AD is characterized by mitochondrial dysfunction.","PMID 35522844 states mitochondrial dysfunction is closely linked to AD pathology and that conventional thinking holds amyloid beta drives AD, but the mechanism linking amyloid beta to cognitive decline (via mitochondrial dysfunction) remains unclear.",1,0,"AI-assisted provisional label; human review required. Both PMIDs support the bridge through AD: amyloid-beta is a hallmark of AD, and mitochondrial dysfunction is associated with AD. However, the direct causal chain 'amyloid-beta causes AD' is implied rather than explicitly stated, and the link from AD to mitochondrial dysfunction is associative rather than strictly directional. The path is partially supported but not fully verified as a complete forward causal chain."
Q006,Q006-P01,endothelial dysfunction,,atherosclerosis,associated_with,,undirected,undirected,15861315,2,one_hop,0,PMID 15861315 explicitly states 'Endothelial dysfunction is associated with atherosclerosis and its risk factors.',,0,0,"AI-assisted provisional label; human review required. The evidence directly and explicitly supports the association between endothelial dysfunction and atherosclerosis. The relation is undirected (associated_with), which matches the evidence. Path is fully supported for a one-hop association."
Q006,Q006-P02,endothelial dysfunction,,inflammation,promotes,,forward,undirected,24928320,2,one_hop,0,PMID 24928320 explicitly states endothelial dysfunction 'promotes inflammation contributing therefore to the development of atherosclerosis.',,0,1,"AI-assisted provisional label; human review required. The evidence directly states that endothelial dysfunction promotes inflammation, fully supporting the forward directional relation proposed in this path. Relevance is 2 as the path is directly and completely supported."
Q006,Q006-P04,endothelial dysfunction,,atherosclerosis,promotes,,forward,undirected,24928320,2,one_hop,0,"PMID 24928320 explicitly states endothelial dysfunction promotes inflammation 'contributing therefore to the development of atherosclerosis,' directly supporting endothelial dysfunction promoting atherosclerosis.",,0,1,AI-assisted provisional label; human review required. The evidence directly supports the forward relation that endothelial dysfunction promotes atherosclerosis. The path is completely and directly supported by the supplied excerpt.
Q006,Q006-P05,endothelial dysfunction,,coronary death,correlates_with,,undirected,undirected,15861315,2,one_hop,0,"PMID 15861315 states endothelial dysfunction 'is independently correlated to adverse cardiovascular events, including myocardial infarction, coronary death, and the need for revascularization.'",,0,1,"AI-assisted provisional label; human review required. The evidence explicitly states that endothelial dysfunction is independently correlated with coronary death, directly supporting this one-hop correlates_with path. Fully supported."
Q006,Q006-P06,endothelial dysfunction,,myocardial infarction,correlates_with,,undirected,undirected,15861315,2,one_hop,0,"PMID 15861315 states endothelial dysfunction 'is independently correlated to adverse cardiovascular events, including myocardial infarction, coronary death, and the need for revascularization.'",,0,1,"AI-assisted provisional label; human review required. The evidence explicitly states that endothelial dysfunction is independently correlated with myocardial infarction, directly and completely supporting this one-hop correlates_with path."
Q006,Q006-P07,endothelial dysfunction,,essential hypertension,associated_with,,undirected,undirected,22112351,2,one_hop,0,"PMID 22112351 directly states that patients with essential hypertension are characterized by endothelial dysfunction, establishing a clear association between endothelial dysfunction and essential hypertension.",,1,1,"AI-assisted provisional label; human review required. The evidence from PMID 22112351 explicitly links endothelial dysfunction to essential hypertension, describing it as a characteristic feature of hypertensive patients. The path is a one-hop association and is directly and completely supported."
Q006,Q006-P08,endothelial dysfunction,,metabolic diseases,associated_with,,undirected,undirected,39684569,1,one_hop,0,"PMID 39684569 states that endothelial dysfunction is 'in the background of multiple metabolic diseases,' supporting a general association, but the evidence is broad and non-specific regarding which metabolic diseases.",,1,0,"AI-assisted provisional label; human review required. The evidence partially supports the association between endothelial dysfunction and metabolic diseases, but the claim is general and the target 'metabolic diseases' is vague. The evidence does not specify a direct, complete mechanistic or epidemiological link beyond a broad statement, warranting a partial support rating."
Q006,Q006-P09,endothelial dysfunction,,hypertensive,associated_with,,undirected,undirected,22112351,2,one_hop,0,"PMID 22112351 explicitly discusses endothelial dysfunction in hypertensive patients, directly supporting the association between endothelial dysfunction and hypertensive status.",,1,1,AI-assisted provisional label; human review required. The evidence from PMID 22112351 directly and completely supports the association between endothelial dysfunction and hypertensive patients. The path is a one-hop association and is well-supported.
Q006,Q006-P10,endothelial dysfunction,,acute coronary syndromes,associated_with,,undirected,undirected,17430168,2,one_hop,0,"PMID 17430168 explicitly states that 'acute coronary syndromes (ACS) may involve a complex interplay between endothelial dysfunction, inflammation and thrombosis,' directly supporting the association between endothelial dysfunction and acute coronary syndromes.",,1,1,"AI-assisted provisional label; human review required. The evidence directly and explicitly links endothelial dysfunction to acute coronary syndromes, making this a fully supported one-hop path."
Q006,Q006-P11,endothelial dysfunction,,thrombosis,associated_with,,undirected,undirected,17430168,2,one_hop,0,"PMID 17430168 explicitly states that acute coronary syndromes involve a 'complex interplay between endothelial dysfunction, inflammation and thrombosis,' directly supporting the association between endothelial dysfunction and thrombosis.",,1,1,"AI-assisted provisional label; human review required. The evidence directly links endothelial dysfunction and thrombosis as co-participants in ACS pathophysiology, fully supporting this one-hop association path."
Q006,Q006-P12,endothelial dysfunction,,reactive oxygen species,associated_with,,undirected,undirected,17430168,1,one_hop,0,"PMID 17430168 mentions 'regulation of vascular sources of oxygen radicals' in the context of endothelial dysfunction mechanisms, implying an association with reactive oxygen species, but does not explicitly state a direct association between endothelial dysfunction and ROS as a primary claim.",,1,0,"AI-assisted provisional label; human review required. The evidence implies a relationship between endothelial dysfunction and reactive oxygen species through mention of oxygen radicals, but the association is not explicitly stated as a primary finding in the excerpt. This warrants partial support."
Q006,Q006-P13,endothelial dysfunction,,peripheral,associated_with,,undirected,undirected,22112351,0,one_hop,0,"PMID 22112351 mentions 'peripheral vascular districts' in the context of studying endothelial function, but 'peripheral' as a standalone target is too vague and not directly supported as a meaningful association with endothelial dysfunction.",,0,0,"AI-assisted provisional label; human review required. The target 'peripheral' is not a well-defined biomedical entity, and the evidence only mentions peripheral vascular districts as a study location rather than establishing an association between endothelial dysfunction and 'peripheral' as a concept. The path is not meaningfully supported."
Q006,Q006-P14,endothelial dysfunction,,cardiovascular death,associated_with,,undirected,undirected,17430168,1,one_hop,0,"PMID 17430168 states that endothelial dysfunction is associated with cardiovascular events and mentions reducing mortality from acute cardiovascular events, but does not explicitly mention 'cardiovascular death' as a direct target of endothelial dysfunction.",,1,0,"AI-assisted provisional label; human review required. The evidence supports an association between endothelial dysfunction and cardiovascular events broadly, which could encompass cardiovascular death, but the specific target 'cardiovascular death' is not explicitly stated. This warrants partial support."
Q006,Q006-P15,endothelial dysfunction,inflammation,atherosclerosis,promotes,promotes,forward,forward,24928320,2,two_hop,0,"PMID 24928320 directly states endothelial dysfunction 'promotes inflammation contributing therefore to the development of atherosclerosis', supporting both hops of the path.","The same excerpt explicitly links the full chain: endothelial dysfunction → inflammation → atherosclerosis, with the bridge (inflammation) named as the intermediate mechanism.",1,1,"AI-assisted provisional label; human review required. PMID 24928320 provides direct, complete support for the two-hop path. The text states endothelial dysfunction 'promotes inflammation contributing therefore to the development of atherosclerosis,' confirming both forward relations and the inflammation bridge. Relevance is 2 (directly supported complete path)."
Q007,Q007-P01,il-17,,autoimmune disease,promotes,,forward,undirected,27576555,2,one_hop,0,"PMID 27576555 explicitly states that IL-17-expressing Th17 cells 'promotes autoimmune tissue inflammation,' directly supporting IL-17 → autoimmune disease.","PMID 39875232 corroborates that IL-17 is implicated in inflammatory disorders and autoimmunity, reinforcing the one-hop relation.",1,1,AI-assisted provisional label; human review required. PMID 27576555 directly supports the one-hop forward relation IL-17 promotes autoimmune disease. The evidence is explicit and unambiguous. Relevance is 2.
Q007,Q007-P02,il-17,,inflammation,promotes,,forward,undirected,27576555,2,one_hop,0,"PMID 27576555 states IL-17-expressing Th17 cells 'promotes autoimmune tissue inflammation,' directly supporting IL-17 → inflammation.","PMID 39875232 further confirms IL-17 as a pro-inflammatory cytokine implicated in inflammatory disorders, reinforcing the forward direction.",1,1,AI-assisted provisional label; human review required. PMID 27576555 directly supports the one-hop forward relation IL-17 promotes inflammation. The evidence is explicit. Relevance is 2.
Q007,Q007-P04,il-17b,,il-17,related_to,,undirected,undirected,39875232,1,one_hop,0,"PMID 39875232 states IL-17A is the founding member of a family including IL-17B, establishing a family relationship between IL-17B and IL-17.",No additional PMID provided; the relation is structural/taxonomic (family membership) rather than a functional directional interaction.,1,0,"AI-assisted provisional label; human review required. PMID 39875232 supports that IL-17B is related to IL-17 as a family member, but the relation is undirected and taxonomic. The path is one-hop with weak/partial support (family membership, not a functional promotes/inhibits relation). Relevance is 1."
Q007,Q007-P05,il-17,,il-17b,related_to,,undirected,undirected,39875232,1,one_hop,0,"PMID 39875232 states IL-17A is the founding member of a family including IL-17B, establishing a family relationship between IL-17 and IL-17B.",No additional PMID provided; the relation is structural/taxonomic rather than a functional directional interaction.,1,0,AI-assisted provisional label; human review required. Same as Q007-P04 but in the reverse nominal direction (IL-17 → IL-17B). The evidence supports a family/related_to relationship but not a directed functional relation. Relevance is 1.
Q007,Q007-P06,il-17,,il-23,associated_with,,undirected,undirected,25145755,2,one_hop,0,"PMID 25145755 is explicitly titled 'The IL-23-IL-17 immune axis' and discusses the IL-23–IL-17 relationship in depth, directly supporting an association between IL-17 and IL-23.","PMID 39875232 states IL-17 is 'stimulated by IL-23's activation of Th17 cells,' further confirming the IL-23–IL-17 association.",1,1,AI-assisted provisional label; human review required. PMID 25145755 directly supports the IL-17 associated_with IL-23 one-hop relation. The evidence is explicit and the association is well-documented. Relevance is 2 for the undirected association claim.
Q007,Q007-P07,il-17,,signaling,associated_with,,undirected,undirected,25145755,1,one_hop,0,"PMID 25145755 discusses 'the mechanisms of IL-17 signalling in mesenchymal and barrier epithelial tissues,' supporting an association between IL-17 and signaling.",No second PMID provided; the evidence is partial—signaling is mentioned as a mechanism of IL-17 action but 'signaling' as a standalone target node is vague.,1,0,"AI-assisted provisional label; human review required. PMID 25145755 supports that IL-17 is associated with signaling mechanisms, but 'signaling' is a broad/vague target and the relation is only weakly supported as a discrete path endpoint. Relevance is 1."
Q007,Q007-P08,il-17f.,,il-17,related_to,,undirected,undirected,37670700,1,one_hop,0,"PMID 37670700 states the IL-17 family consists of IL-17A to IL-17F, establishing that IL-17F is related to IL-17 as a family member.","PMID 39875232 also notes IL-17 can form a heterodimer with IL-17F, providing a functional basis for the relationship.",1,0,"AI-assisted provisional label; human review required. Both PMIDs support a family/structural relationship between IL-17F and IL-17, and PMID 39875232 adds a functional heterodimer interaction. However, the relation is undirected and primarily taxonomic/structural. Relevance is 1."
Q007,Q007-P09,il-17,,il-17f.,related_to,,undirected,undirected,37670700,2,one_hop,0,"PMID 37670700 directly states that the IL-17 family consists of six structurally related pro-inflammatory cytokines, IL-17A to IL-17F, establishing IL-17 and IL-17F as related members of the same cytokine family.",,1,1,"AI-assisted provisional label; human review required. The evidence from PMID 37670700 explicitly names IL-17F as a member of the IL-17 cytokine family alongside IL-17 (IL-17A), directly supporting the 'related_to' undirected one-hop path between IL-17 and IL-17F. The relationship is fully supported as a structural and functional family relationship."
Q007,Q007-P10,il-17,,gm-csf,co_occurs_with,,undirected,undirected,30891627,2,one_hop,0,"PMID 30891627 explicitly states that 'targeting the effector cytokines IL-17 and GM-CSF secreted by autoimmune Th17 cells has been shown to be effective,' directly co-locating IL-17 and GM-CSF as co-occurring effector cytokines of Th17 cells.",,1,1,AI-assisted provisional label; human review required. The evidence directly and explicitly supports co-occurrence of IL-17 and GM-CSF as effector cytokines secreted by the same Th17 cell population in autoimmune disease contexts. The undirected co_occurs_with relation is fully supported.
Q007,Q007-P11,il-17,,immune-mediated inflammatory diseases,associated_with,,undirected,undirected,25145755,2,one_hop,0,"PMID 25145755 explicitly states that 'IL-17-specific and IL-23-specific antibody treatments are remarkably effective for treating many immune-mediated inflammatory diseases,' directly associating IL-17 with immune-mediated inflammatory diseases.",,1,1,"AI-assisted provisional label; human review required. The evidence from PMID 25145755 directly supports the association between IL-17 and immune-mediated inflammatory diseases, including mechanistic discussion of IL-17 signalling and clinical data on IL-17-targeted therapies. The path is fully supported."
Q007,Q007-P12,il-17,,t-bet,co_occurs_with,,undirected,undirected,30502718,1,one_hop,0,"PMID 30502718 states that Th1-like Th17 cells co-express RORγt and T-bet and produce both IL-17 and IFN-γ, placing IL-17 and T-bet in the same cellular context, but the relationship is indirect (both are features of the same cell subset rather than a direct molecular interaction).",,1,0,"AI-assisted provisional label; human review required. The evidence supports co-occurrence of IL-17 production and T-bet expression within Th1-like Th17 cells, but the relationship is indirect and cell-context-dependent rather than a direct molecular co-occurrence between IL-17 cytokine and T-bet transcription factor. Relevance is partial (1) as the co-occurrence is real but weak/indirect."
Q007,Q007-P13,il-17,,immune disorders,associated_with,,undirected,undirected,27576555,2,one_hop,0,"PMID 27576555 explicitly discusses IL-17 in the context of autoimmunity and inflammation, describing IL-17-expressing T cell populations that 'promote autoimmune tissue inflammation,' directly associating IL-17 with immune disorders.",,1,1,"AI-assisted provisional label; human review required. The evidence from PMID 27576555 directly and comprehensively supports the association between IL-17 and immune disorders, including autoimmune and inflammatory diseases. The path is fully supported."
Q007,Q007-P14,il-17,,cd4,co_occurs_with,,undirected,undirected,27576555,1,one_hop,0,"PMID 27576555 identifies 'IL-17-expressing RORγt+CD4+ T cell population' as a distinct helper T cell subset, placing IL-17 and CD4 in the same cellular context, but the co-occurrence is at the cell-surface marker/cytokine level rather than a direct molecular interaction.",,1,0,"AI-assisted provisional label; human review required. The evidence supports that IL-17 and CD4 co-occur as features of the same T cell subset (Th17 cells), but this is an indirect association via cell identity rather than a direct molecular co-occurrence between IL-17 cytokine and CD4 molecule. Relevance is partial (1)."
Q007,Q007-P15,il-17b,il-17,inflammation,related_to,promotes,undirected,forward,27576555;39875232,1,two_hop,0,"PMID 39875232 lists IL-17B as a member of the IL-17 family, establishing a 'related_to' link between IL-17B and IL-17 (IL-17A) as family members.","PMID 27576555 and PMID 39875232 both support that IL-17 promotes inflammation, with PMID 39875232 explicitly stating IL-17 leads to 'inflammation and autoimmunity.'",1,1,"AI-assisted provisional label; human review required. The bridge (IL-17B → IL-17 → inflammation) is partially supported: IL-17B is related to IL-17 as a family member (PMID 39875232), and IL-17 promotes inflammation (both PMIDs). However, the IL-17B-to-IL-17 link is only a family membership relation, not a direct functional or mechanistic bridge showing IL-17B acting through IL-17 to cause inflammation. The path is plausible but only partially supported, warranting relevance of 1."
Q007,Q007-P16,il-17b,il-17,autoimmune disease,related_to,promotes,undirected,forward,27576555;39875232,1,two_hop,0,"PMID 39875232 lists IL-17B as a member of the IL-17 family, establishing a 'related_to' link between IL-17B and IL-17 (IL-17A).","PMID 27576555 and PMID 39875232 both support that IL-17 promotes autoimmune disease, with PMID 39875232 explicitly stating IL-17 leads to 'inflammation and autoimmunity.'",1,1,"AI-assisted provisional label; human review required. Similar to P15, the bridge (IL-17B → IL-17 → autoimmune disease) is partially supported: IL-17B is related to IL-17 as a family member, and IL-17 promotes autoimmune disease. However, the IL-17B-to-IL-17 link is only a family membership relation without direct mechanistic evidence that IL-17B acts through IL-17 to cause autoimmune disease. Relevance is 1 (partial support)."
Q007,Q007-P18,il-17b,il-17,il-23,related_to,associated_with,undirected,undirected,25145755;39875232,1,two_hop,0,"PMID 39875232 establishes IL-17B as a member of the IL-17 cytokine family (related_to IL-17), providing the first hop.","PMID 25145755 and PMID 39875232 both describe the IL-23–IL-17 axis, supporting IL-17 associated_with IL-23 as the second hop.",1,0,"AI-assisted provisional label; human review required. The bridge (IL-17) is valid: IL-17B is explicitly listed as a family member of IL-17 (PMID 39875232), and IL-17 is clearly linked to IL-23 via the IL-23–IL-17 immune axis (PMID 25145755; PMID 39875232). However, the first hop is a family-membership relation rather than a direct functional link between IL-17B and IL-17, making the path only partially supported. Directions are undirected and not specifically verified for IL-17B→IL-17→IL-23."
Q007,Q007-P19,il-17b,il-17,signaling,related_to,associated_with,undirected,undirected,25145755;39875232,1,two_hop,0,"PMID 39875232 places IL-17B in the IL-17 family, supporting the IL-17B related_to IL-17 hop.","PMID 25145755 explicitly discusses IL-17 signalling mechanisms in mesenchymal and barrier epithelial tissues, supporting IL-17 associated_with signaling.",1,0,"AI-assisted provisional label; human review required. IL-17B is connected to IL-17 through family membership (PMID 39875232), and IL-17 signalling is a central topic of PMID 25145755. The path is plausible but the first hop is weak (family relation, not a direct functional interaction between IL-17B and IL-17 signaling per se). 'Signaling' as a target node is generic, reducing specificity. Partial support only."
Q007,Q007-P20,il-17f.,il-17,il-17b,related_to,related_to,undirected,undirected,37670700;39875232,1,two_hop,0,"PMID 37670700 and PMID 39875232 both describe IL-17F as a member of the IL-17 cytokine family (IL-17A–IL-17F), supporting IL-17F related_to IL-17.","PMID 39875232 lists IL-17B as a member of the same IL-17 family, supporting IL-17 related_to IL-17B.",1,0,"AI-assisted provisional label; human review required. Both hops are supported by family-membership evidence: IL-17F and IL-17B are both members of the IL-17 cytokine family (PMID 37670700; PMID 39875232). The bridge (IL-17/IL-17A) is valid as the founding/reference member. However, the connections are based on structural family relatedness rather than direct functional interactions between IL-17F and IL-17B specifically, limiting relevance to partial support."
Q008,Q008-P01,cftr,cf,inflammation,causes,associated_with,forward,undirected,28155088;37546931,1,two_hop,0,"PMID 37546931 directly states that CFTR loss (iCftr KO) leads to dysbiosis and inflammation, supporting CFTR causes CF-related pathology.","PMID 28155088 and PMID 37546931 both associate CF with intestinal and systemic inflammation, supporting CF associated_with inflammation.",1,1,"AI-assisted provisional label; human review required. The evidence supports that CFTR dysfunction underlies CF (PMID 37546931: 'Chronic intestinal inflammation is a poorly understood manifestation of Cystic Fibrosis (CF)'; PMID 30546102 context), and CF is associated with inflammation (PMID 28155088; PMID 37546931). The forward direction CFTR→CF→inflammation is directionally consistent. However, the first hop 'CFTR causes CF' is implied rather than explicitly stated in the supplied excerpts (the excerpts describe CF mouse models and CFTR mutations but do not explicitly state 'CFTR causes CF' as a causal statement in the text provided), reducing to partial support."
Q008,Q008-P02,cftr,cf,intestinal inflammation,causes,associated_with,forward,undirected,30546102;37546931,2,two_hop,0,"PMID 30546102 explicitly states 'Cystic fibrosis (CF) is caused by mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,' directly supporting CFTR causes CF.","PMID 30546102 and PMID 37546931 both directly associate CF with intestinal inflammation, supporting CF associated_with intestinal inflammation.",1,1,"AI-assisted provisional label; human review required. PMID 30546102 explicitly establishes that CF is caused by CFTR mutations and that CF is associated with intestinal inflammation. PMID 37546931 corroborates that intestinal inflammation is a manifestation of CF and that CFTR loss contributes to it. Both hops are directly and completely supported, the bridge (CF) is valid, and the forward direction CFTR→CF→intestinal inflammation is verified."
Q009,Q009-P01,jak/stat pathway,,homeostasis,regulates,,forward,undirected,26972840,2,one_hop,0,"PMID 26972840 explicitly states 'the highly conserved and potent JAK/STAT signaling pathway is required for normal homeostasis,' directly supporting JAK/STAT pathway regulates homeostasis.",N/A (one-hop path),0,1,"AI-assisted provisional label; human review required. This is a one-hop path. PMID 26972840 directly and explicitly states that the JAK/STAT pathway is required for normal homeostasis, fully supporting the proposed relation. Direction (forward: JAK/STAT regulates homeostasis) is verified."
Q009,Q009-P02,jak/stat pathway,,diabetes,promotes,,forward,undirected,26972840,1,one_hop,0,"PMID 26972840 states that when dysregulated, the JAK/STAT pathway 'contributes to the development of obesity and diabetes,' supporting a promotes/contributes-to relation with diabetes.",N/A (one-hop path),0,1,"AI-assisted provisional label; human review required. This is a one-hop path. PMID 26972840 supports that dysregulated JAK/STAT contributes to diabetes development. However, the relation is conditional on dysregulation (not a straightforward 'promotes' under normal conditions), and the paper frames it as 'contributes to' rather than a direct causal promotion, making this partial rather than complete support. Direction is forward and consistent."
Q009,Q009-P03,jak/stat pathway,,obesity,promotes,,forward,undirected,26972840,1,one_hop,0,"PMID 26972840 states that dysregulated JAK/STAT 'contributes to the development of obesity and diabetes,' supporting a promotes/contributes-to relation with obesity.",N/A (one-hop path),0,1,"AI-assisted provisional label; human review required. This is a one-hop path. PMID 26972840 supports that dysregulated JAK/STAT contributes to obesity. As with P02, the relation is conditional on dysregulation rather than a constitutive 'promotes' relationship, and the evidence is from a review framing it as contributory. Partial support; direction is forward and consistent."
Q009,Q009-P04,jak/stat pathway,,signaling,related_to,,undirected,undirected,26972840,1,one_hop,0,"PMID 26972840 describes the JAK/STAT pathway as a 'potent JAK/STAT signaling pathway', directly linking the pathway to signaling in the context of obesity and diabetes.",,0,0,"AI-assisted provisional label; human review required. The evidence confirms that JAK/STAT is a signaling pathway and is related to signaling broadly, but the path is trivially self-referential (JAK/STAT pathway related_to signaling). The evidence supports the association but the relation is weak/tautological. One-hop, partially supported."
Q009,Q009-P05,jak/stat pathway,,behavior,regulates,,forward,undirected,29897957,2,one_hop,0,"PMID 29897957 explicitly states 'the JAK/STAT signaling pathway in the regulation of muscle satellite cell behavior', directly supporting the forward relation 'JAK/STAT pathway regulates behavior' (satellite cell behavior).",,0,1,"AI-assisted provisional label; human review required. The evidence directly and explicitly states that the JAK/STAT pathway regulates satellite cell behavior, fully supporting the proposed path. Direction (forward: JAK/STAT → behavior) is verified by the evidence."
Q009,Q009-P06,jak/stat pathway,,diabetes mellitus,associated_with,,undirected,undirected,26972840,1,one_hop,0,PMID 26972840 supports that dysregulated JAK/STAT contributes to diabetes development (relation_1: promotes diabetes).,"PMID 26972840 states diabetes mellitus is 'characterized by hyperglycemia', supporting the bridge diabetes → hyperglycemia association, but this is definitional rather than a mechanistic causal claim.",1,1,"AI-assisted provisional label; human review required. The two-hop path (JAK/STAT promotes diabetes → diabetes associated_with hyperglycemia) is partially supported. The first hop (JAK/STAT → diabetes) is well supported. The second hop (diabetes associated_with hyperglycemia) is supported only definitionally from the same PMID. Bridge is valid but the second relation is weak/definitional, so overall relevance is 1."
