answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
PP017-A,PP017,incremental_routed_dv3,2,4,4.5,0,4,4,0,5,5,1,4,4,0,4,4.5,0,3,3.5,0
PP017-B,PP017,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP017-C,PP017,structured_all_path_dv2,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP018-A,PP018,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP018-B,PP018,structured_all_path_dv2,2,3,3,1,2,2.5,0,4,4,1,3,3,1,2,2.5,0,3,3,1
PP018-C,PP018,incremental_routed_dv3,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP019-A,PP019,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4,0,4,4.5,0,4,4.5,0
PP019-B,PP019,structured_all_path_dv2,2,4,4.5,0,4,4,1,5,5,1,4,4,0,4,4.5,0,3,3.5,0
PP019-C,PP019,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP020-A,PP020,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP020-B,PP020,traditional_text_rag,2,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,4,4,1
PP020-C,PP020,structured_all_path_dv2,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
