answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
PP006-A,PP006,text_rag_kg_reranking,2,5,5,1,4,4.5,0,5,5,1,5,5,1,5,5,1,4,4.5,0
PP006-B,PP006,structured_gated_path_answer,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4,1,4,4.5,0
PP006-C,PP006,traditional_text_rag,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP006-D,PP006,legacy_path_answer,2,4,4,1,2,2.5,0,4,4,1,4,4,1,3,3,1,2,2.5,0
PP007-A,PP007,structured_gated_path_answer,2,4,4,0,3,3.5,0,4,4.5,0,4,4,0,3,3.5,0,3,3.5,0
PP007-B,PP007,legacy_path_answer,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,5,5,1
PP007-C,PP007,text_rag_kg_reranking,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP007-D,PP007,traditional_text_rag,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP008-A,PP008,structured_gated_path_answer,2,4,4.5,0,3,3.5,0,4,4.5,0,4,4.5,0,4,4,0,3,3.5,0
PP008-B,PP008,legacy_path_answer,2,4,4,1,2,2.5,0,4,4.5,0,4,4,1,4,4,1,3,3,1
PP008-C,PP008,traditional_text_rag,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,4,4.5,0,5,5,1
PP008-D,PP008,text_rag_kg_reranking,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,5,5,1
PP009-A,PP009,text_rag_kg_reranking,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP009-B,PP009,traditional_text_rag,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP009-C,PP009,structured_gated_path_answer,2,5,5,1,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP009-D,PP009,legacy_path_answer,2,4,4.5,0,4,4,1,5,5,1,5,5,1,4,4,1,4,4,1
PP010-A,PP010,text_rag_kg_reranking,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP010-B,PP010,legacy_path_answer,2,4,4,1,2,2.5,0,4,4.5,0,4,4.5,0,4,4,1,3,3.5,0
PP010-C,PP010,traditional_text_rag,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP010-D,PP010,structured_gated_path_answer,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP011-A,PP011,text_rag_kg_reranking,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP011-B,PP011,legacy_path_answer,2,3,3,1,2,2.5,0,4,4,1,3,3,1,3,3,1,3,3.5,0
PP011-C,PP011,structured_gated_path_answer,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP011-D,PP011,traditional_text_rag,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP012-A,PP012,traditional_text_rag,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4,0,5,5,1,4,4.5,0
PP012-B,PP012,text_rag_kg_reranking,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4,0,5,5,1,4,4.5,0
PP012-C,PP012,structured_gated_path_answer,2,4,4,1,4,4,1,4,4.5,0,4,4,1,4,4,1,4,4,1
PP012-D,PP012,legacy_path_answer,2,3,3.5,0,3,3.5,0,4,4.5,0,3,3.5,0,3,3.5,0,3,3.5,0
PP013-A,PP013,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP013-B,PP013,legacy_path_answer,2,4,4,1,3,3.5,0,4,4.5,0,4,4,0,3,3.5,0,3,3.5,0
PP013-C,PP013,structured_gated_path_answer,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP013-D,PP013,text_rag_kg_reranking,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP014-A,PP014,legacy_path_answer,2,4,4,0,3,3,0,4,4.5,0,4,4,0,3,3.5,0,3,3.5,0
PP014-B,PP014,text_rag_kg_reranking,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP014-C,PP014,structured_gated_path_answer,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP014-D,PP014,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP015-A,PP015,traditional_text_rag,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4,0,4,4.5,0,4,4.5,0
PP015-B,PP015,text_rag_kg_reranking,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP015-C,PP015,legacy_path_answer,2,3,3.5,0,2,2.5,0,3,3.5,0,3,3.5,0,2,2.5,0,2,2.5,0
PP015-D,PP015,structured_gated_path_answer,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0
PP016-A,PP016,traditional_text_rag,2,4,4.5,0,3,3.5,0,5,5,1,4,4.5,0,4,4.5,0,3,3.5,0
PP016-B,PP016,structured_gated_path_answer,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP016-C,PP016,legacy_path_answer,2,4,4.5,0,3,3.5,0,5,5,1,4,4.5,0,4,4.5,0,3,3.5,0
PP016-D,PP016,text_rag_kg_reranking,2,5,5,1,4,4,1,5,5,1,5,5,1,5,5,1,4,4,1
PP017-A,PP017,legacy_path_answer,2,4,4,0,3,3,0,4,4,0,4,4,0,3,3,0,3,3,0
PP017-B,PP017,text_rag_kg_reranking,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0
PP017-C,PP017,structured_gated_path_answer,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP017-D,PP017,traditional_text_rag,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0,4,4.5,0
PP018-A,PP018,legacy_path_answer,2,4,4,0,3,3,0,4,4,0,4,4,0,3,3,0,3,3,0
PP018-B,PP018,structured_gated_path_answer,2,3,3,1,3,3,1,4,4,1,3,3,1,3,3,1,3,3,1
PP018-C,PP018,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP018-D,PP018,text_rag_kg_reranking,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP019-A,PP019,traditional_text_rag,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4,0,4,4.5,0,4,4.5,0
PP019-B,PP019,legacy_path_answer,2,3,3.5,0,2,2.5,0,3,3.5,0,3,3.5,0,3,3.5,0,3,3,0
PP019-C,PP019,structured_gated_path_answer,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP019-D,PP019,text_rag_kg_reranking,2,4,4.5,0,4,4.5,0,4,4.5,0,4,4,0,4,4.5,0,4,4.5,0
PP020-A,PP020,text_rag_kg_reranking,2,4,4.5,0,3,3.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4,1
PP020-B,PP020,legacy_path_answer,2,3,3.5,0,3,3,1,4,4.5,0,3,3.5,0,3,3,1,3,3,1
PP020-C,PP020,structured_gated_path_answer,2,5,5,1,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP020-D,PP020,traditional_text_rag,2,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,4,4,1
