answer_id,question_id,system
PP011-B,PP011,D2_incremental_paths
PP011-C,PP011,D1_all_safe_paths
PP011-D,PP011,Oracle_local_path_selection
PP011-E,PP011,C1_kg_reranking
PP011-F,PP011,C2_kg_expansion
PP011-G,PP011,D3_incremental_natural_fusion
PP012-A,PP012,C2_kg_expansion
PP012-B,PP012,C1_kg_reranking
PP012-C,PP012,B_traditional_rag
PP012-D,PP012,Oracle_local_path_selection
PP012-E,PP012,D3_incremental_natural_fusion
PP012-F,PP012,D2_incremental_paths
PP012-G,PP012,D1_all_safe_paths
PP013-A,PP013,Oracle_local_path_selection
PP013-B,PP013,C2_kg_expansion
PP013-C,PP013,C1_kg_reranking
PP013-D,PP013,B_traditional_rag
PP013-E,PP013,D1_all_safe_paths
PP013-F,PP013,D2_incremental_paths
PP013-G,PP013,D3_incremental_natural_fusion
PP014-A,PP014,C1_kg_reranking
PP014-B,PP014,D1_all_safe_paths
PP014-C,PP014,Oracle_local_path_selection
PP014-D,PP014,D2_incremental_paths
PP014-E,PP014,C2_kg_expansion
PP014-F,PP014,B_traditional_rag
PP014-G,PP014,D3_incremental_natural_fusion
PP015-A,PP015,D3_incremental_natural_fusion
PP015-B,PP015,D2_incremental_paths
PP015-C,PP015,C1_kg_reranking
PP015-D,PP015,C2_kg_expansion
PP015-E,PP015,Oracle_local_path_selection
PP015-F,PP015,D1_all_safe_paths
PP015-G,PP015,B_traditional_rag
PP016-A,PP016,Oracle_local_path_selection
PP016-B,PP016,D3_incremental_natural_fusion
PP016-C,PP016,C1_kg_reranking
PP016-D,PP016,B_traditional_rag
PP016-E,PP016,D1_all_safe_paths
PP016-F,PP016,C2_kg_expansion
PP016-G,PP016,D2_incremental_paths
PP017-A,PP017,Oracle_local_path_selection
PP017-B,PP017,C1_kg_reranking
PP017-C,PP017,D1_all_safe_paths
PP017-D,PP017,D3_incremental_natural_fusion
PP017-E,PP017,B_traditional_rag
PP017-F,PP017,D2_incremental_paths
PP017-G,PP017,C2_kg_expansion
PP018-A,PP018,D3_incremental_natural_fusion
PP018-B,PP018,C2_kg_expansion
PP018-C,PP018,D2_incremental_paths
PP018-D,PP018,D1_all_safe_paths
PP018-E,PP018,C1_kg_reranking
PP018-F,PP018,Oracle_local_path_selection
PP018-G,PP018,B_traditional_rag
PP019-A,PP019,C2_kg_expansion
PP019-B,PP019,Oracle_local_path_selection
PP019-C,PP019,D1_all_safe_paths
PP019-D,PP019,C1_kg_reranking
PP019-E,PP019,B_traditional_rag
PP019-F,PP019,D2_incremental_paths
PP019-G,PP019,D3_incremental_natural_fusion
PP020-A,PP020,D2_incremental_paths
PP020-B,PP020,B_traditional_rag
PP020-C,PP020,C1_kg_reranking
PP020-D,PP020,Oracle_local_path_selection
PP020-E,PP020,D1_all_safe_paths
PP020-F,PP020,C2_kg_expansion
PP020-G,PP020,D3_incremental_natural_fusion
