question_id,domain,question,pubmed_query,language
Q024,stem cell biology,"Which factors regulate mesenchymal stem cell osteogenic differentiation through BMP signaling?","mesenchymal stem cell osteogenesis BMP2 SMAD Runx2",English
Q025,neuromuscular disease,"What candidate mechanisms connect Duchenne muscular dystrophy to chronic inflammation?","Duchenne muscular dystrophy dystrophin inflammation NF-kB macrophage fibrosis",English
Q026,gastroenterology,"Which microbiome metabolites are linked to intestinal barrier integrity?","microbiome short-chain fatty acids butyrate intestinal barrier tight junction",English
Q027,endocrinology,"What evidence links vitamin D signaling to immune regulation in autoimmune thyroid disease?","vitamin D VDR autoimmune thyroid disease Hashimoto T cells cytokines",English
Q028,oncology,"Which genes mediate a 2-hop path between EGFR activation and resistance to apoptosis?","EGFR apoptosis resistance PI3K AKT BCL2 ERK cancer",English
Q029,vascular biology,"What mechanisms connect endothelial senescence to atherosclerosis?","endothelial senescence atherosclerosis oxidative stress inflammation SASP",English
Q030,psychiatry,"Which inflammatory markers have been associated with major depressive disorder in human studies?","major depression inflammation CRP IL-6 TNF-alpha human",English
Q031,dermatology,"What pathways connect atopic dermatitis to skin barrier dysfunction?","atopic dermatitis filaggrin IL-4 IL-13 skin barrier inflammation",English
Q032,pulmonology,"Which cytokines link asthma exacerbation to airway remodeling?","asthma airway remodeling IL-13 IL-17 TGF-beta eosinophils",English
Q033,hepatology,"What evidence supports a link between ferroptosis and liver fibrosis?","ferroptosis liver fibrosis hepatic stellate cell iron lipid peroxidation",English
Q034,ophthalmology,"Which mechanisms link VEGF signaling to diabetic retinopathy progression?","VEGF diabetic retinopathy angiogenesis inflammation vascular permeability",English
Q035,aging biology,"What candidate 2-hop paths connect senolytics to improved tissue regeneration?","senolytic senescence regeneration SASP stem cell inflammation",English
Q036,pharmacology,"Which natural compounds have evidence for modulating Nrf2 signaling in oxidative stress models?","Nrf2 oxidative stress natural compound sulforaphane curcumin resveratrol",English
Q037,infectious disease,"What mechanisms connect chronic hepatitis B infection to hepatocellular carcinoma?","HBV hepatocellular carcinoma inflammation HBx integration fibrosis",English
Q038,metabolic bone disease,"Which osteoclast-related genes are associated with rheumatoid arthritis bone erosion?","rheumatoid arthritis osteoclast RANKL TNF-alpha cathepsin K bone erosion",English
Q039,neurobiology,"What evidence links BDNF signaling to synaptic plasticity in depression models?","BDNF TrkB synaptic plasticity depression hippocampus",English
Q040,cancer metabolism,"Which metabolic pathways connect KRAS mutation to immune evasion?","KRAS mutation immune evasion metabolism lactate PD-L1 tumor microenvironment",English
Q041,multilingual,"請找出 SGLT2 抑制劑可能保護腎臟的抗發炎或抗纖維化機制。","SGLT2 inhibitor kidney inflammation fibrosis empagliflozin dapagliflozin",Traditional Chinese
Q042,multilingual,"請比較 IL-17 在類風濕性關節炎與乾癬中的主要免疫細胞來源。","IL-17 rheumatoid arthritis psoriasis Th17 gamma delta T cell innate lymphoid cells",Traditional Chinese
Q043,cross-species,"Which claims about NLRP3 inflammasome activation in Alzheimer's disease are supported by human evidence versus mouse models?","NLRP3 inflammasome Alzheimer's disease microglia human mouse",English
Q044,cross-species,"Does resveratrol improve endothelial function in humans, or is the evidence mainly preclinical?","resveratrol endothelial function human trial nitric oxide preclinical",English
Q045,cross-species,"Which evidence for GLP-1 receptor agonists reducing neuroinflammation comes from human studies versus animal models?","GLP-1 receptor agonist neuroinflammation human animal microglia",English
Q046,method stress test,"Find evidence for a direct causal link between caffeine and telomerase activation in human immune cells.","caffeine telomerase activation human immune cells",English
Q047,method stress test,"Is there direct evidence that quercetin upregulates CFTR in cystic fibrosis intestinal epithelium?","quercetin CFTR cystic fibrosis intestinal epithelium upregulation",English
Q048,method stress test,"What evidence supports a causal pathway from melatonin to osteoclast inhibition through miR-21?","melatonin osteoclast inhibition miR-21 osteoporosis",English
Q049,systematic retrieval,"Which PMIDs directly study the relationship between TGF-beta signaling and cardiac fibrosis in humans?","TGF-beta signaling cardiac fibrosis human myocardium",English
Q050,hypothesis generation,"Generate a testable hypothesis connecting gut microbiome dysbiosis, IL-17, and bone loss.","gut microbiome dysbiosis IL-17 bone loss osteoporosis",English
