question_id,domain,question_type,pubmed_search_query,candidate_pmids,relevance_grade,audit_flags_2nd_pass,curator_id,curation_status,notes
Q021,nephrology,direct_evidence,SGLT2 inhibitor kidney inflammation fibrosis empagliflozin dapagliflozin,36986825;39168099;33139635;35069210;31333586;28663934;41203232;36331190,2;2;2;2;2;1;1;1,-;-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Distinguish clinical kidney outcomes from direct inflammation/fibrosis mechanisms. || AI-DRAFTED (unreviewed): Good separation between mechanistic inflammation/fibrosis studies (mouse/rat models, human tubular cell lines: CYP4A/20-HETE, STAT1/TGF-beta1, RIP1-RIP3-MLKL, MCP-1/ET-1) and large clinical renal-outcome trials/meta-analyses (EMPA-KIDNEY etc.); most direct fibrosis-mechanism evidence is preclinical. || AUDIT (2nd pass): All 8 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q022,cardiology,mechanism,atrial fibrillation fibrosis TGF-beta IL-6 NLRP3 inflammation,35860690;40243956;39334820;37904680;38419608;33465490;40709209;38877789,2;2;2;2;2;2;1;1,-;-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Include atrial tissue evidence where possible. || AI-DRAFTED (unreviewed): Strong coverage of all three pathways (TGF-beta, IL-6, NLRP3) with atrial-tissue-specific evidence in animal models (rat, mouse, rabbit, canine) and human atrial tissue/clinical samples, giving good human-animal balance beyond generic ventricular fibrosis data. || AUDIT (2nd pass): All 8 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q023,cancer biology,mechanism,hypoxia HIF-1alpha epithelial mesenchymal transition cancer metastasis,26057751;28076840;24610352;23979441;19778933;38238426;26819207;32322559,2;2;2;2;1;2;2;1,-;-;-;-;v1;-;^2;-,codex-final-adjudication,final-ai-adjudicated,"Require HIF-1alpha-specific EMT evidence for grade 2. || AI-DRAFTED (unreviewed): Strong HIF-1alpha-specific mechanistic evidence across colorectal, gastric, prostate, pancreatic, lung, and breast cancer models, most with direct HRE-binding or knockdown/inhibition causality and several including human tumor tissue; one review kept as contrast for generic hypoxia-EMT pathways. || AUDIT (2nd pass): 19778933 is correlative-only (IHC/survival) -- overgraded at 2; 26819207 has functional hypoxia/HIF-1alpha knockdown data -- may be underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q024,stem cell biology,retrieval,mesenchymal stem cell osteogenic differentiation BMP signaling SMAD Runx2,28943430;26096280;25470749;28644396;32059748;15526274;26885254,2;2;2;2;2;2;1,-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Include factor-BMP-SMAD-Runx2 evidence. || AI-DRAFTED (unreviewed): Good factor-specific coverage of the BMP-SMAD-Runx2 axis (miR-21, BMP-2, PDGF-AA, RUNX1, miR-765, beta-catenin) largely from rodent MSC/cell-line models with one human bone marrow MSC study; one review kept only for pathway-level background. || AUDIT (2nd pass): All 7 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q025,neuromuscular disease,hypothesis,Duchenne muscular dystrophy dystrophin inflammation NF-kB macrophage fibrosis,17380205;21842588;25312642;22381526;26380303;32224496;34680483,2;2;2;2;1;1;1,-;-;-;-;v1;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate mdx mouse evidence from human DMD evidence. || AI-DRAFTED (unreviewed): Balanced human (biopsy/serum cytokine studies) and mdx mouse mechanistic evidence covering NF-kB, macrophage/monocyte (CCR2), and fibrin-integrin inflammatory pathways; two reviews kept only for background on neutrophil/oxidative-stress contributions. || AUDIT (2nd pass): 26380303 is a systemic-inflammation correlation study that explicitly does not address dystrophin/NF-kB/macrophage/fibrosis -- overgraded at 2. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q026,gastroenterology,association,microbiome metabolites intestinal barrier integrity butyrate tight junction short-chain fatty acids,35573092;22684624;22731715;32422994;33803334;34959809;28654658;31141995;35953929,2;2;2;2;2;2;1;1;1,-;-;-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Grade direct barrier/tight junction evidence highest. || AI-DRAFTED (unreviewed): Strong direct mechanistic evidence for butyrate/SCFA regulation of tight junction proteins (claudin, occludin, ZO-1) spanning human ex vivo/in vitro, rodent, and livestock models; one human ex vivo study notably found no acute protective effect, providing useful balance. || AUDIT (2nd pass): All 9 grades independently confirmed defensible (human/general-mechanistic vs livestock-production-model split is internally consistent). || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q027,endocrinology,direct_evidence,vitamin D VDR autoimmune thyroid disease Hashimoto T cells cytokines,37241088;29026419;27186560;38284726;35399300;29765404;37513592,2;2;2;2;2;1;1,-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate association, supplementation, and immune mechanism. || AI-DRAFTED (unreviewed): Good separation across evidence types: observational association, supplementation RCTs with mixed results (one positive, one negative), mechanistic immune-cell data, a Mendelian-randomization study, and a VDR-polymorphism meta-analysis; all human studies, no animal-model gap. || AUDIT (2nd pass): All 7 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q028,oncology,two_hop_path,EGFR apoptosis resistance PI3K AKT BCL2 ERK cancer,35402265;16226704;19850869;29455644;18454859;15225643;28871105,2;2;2;2;1;1;1,-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Prefer PMIDs supporting EGFR-to-survival-pathway-to-apoptosis links. || AI-DRAFTED (unreviewed): Good coverage of the specific EGFR->PI3K/AKT (or MAPK)->BCL2-family->apoptosis-resistance path with per-edge original mechanistic studies plus a directly on-topic review; PMIDs supporting only one edge are graded down per the curation note. || AUDIT (2nd pass): All 7 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q029,vascular biology,mechanism,endothelial senescence atherosclerosis oxidative stress inflammation SASP,11927518;34272458;19036896;35642067;38001470;37259606,2;2;1;2;1;1,-;-;v1;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate cellular senescence evidence from clinical association. || AI-DRAFTED (unreviewed): Clear separation between human clinical plaque association (direct autopsy evidence of senescent endothelial cells in atherosclerotic lesions) and in vitro/animal mechanistic SASP-oxidative-stress-inflammation evidence; two review syntheses tie the mechanisms together. || AUDIT (2nd pass): 19036896 reads as a generic senescence-mechanisms review lacking atherosclerosis-specific content -- overgraded at 2, closer to 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q030,psychiatry,retrieval,major depressive disorder inflammation CRP IL-6 TNF-alpha human meta-analysis,26065825;19188531;21872339;41226404;30104698;35163538,2;2;2;2;2;1,-;-;-;-;^2;-,codex-final-adjudication,final-ai-adjudicated,"Prioritize human cohorts and meta-analyses. || AI-DRAFTED (unreviewed): Strong, consistent human meta-analytic evidence converges on IL-6 and CRP as the most robustly elevated markers, TNF-alpha less consistent, IL-1beta most variable; no animal-only studies included; the elderly-population study is downgraded for its distinct comorbid population. || AUDIT (2nd pass): 30104698 is methodologically identical to the grade-2 meta-analyses and covers all four expected markers -- looks inconsistently underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q031,dermatology,mechanism,atopic dermatitis filaggrin IL-4 IL-13 skin barrier dysfunction,16550169;16990802;31509236;19720210;32751111;29676067;29467325;39202657,2;2;2;2;2;1;1;1,-;-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Distinguish genetic barrier evidence from cytokine-mediated barrier effects. || AI-DRAFTED (unreviewed): Good human-only coverage; clearly separable into genetic/FLG-mutation evidence versus IL-4/IL-13 cytokine-mediated barrier suppression evidence, matching the curation note. || AUDIT (2nd pass): All 8 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q032,pulmonology,association,asthma exacerbation airway remodeling IL-13 IL-17 TGF-beta eosinophils,19075788;12170265;27931975;40257546;30323811;33013361;15032597;18328887,2;2;1;2;1;2;1;1,-;-;v1;-;-;^2;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate cytokine association from remodeling mechanism. || AI-DRAFTED (unreviewed): Human evidence dominates for cytokine-exacerbation association (human biopsies) and remodeling mechanism (human); only one mouse-model paper found for IL-17-specific vascular remodeling, so balance is human-heavy with one animal study flagged. || AUDIT (2nd pass): 27931975 ties IL-17F to exacerbation but not remodeling (only one edge) -- overgraded at 2; 33013361 directly links IL-17, exacerbation, and remodeling in one model -- underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q033,hepatology,direct_evidence,ferroptosis liver fibrosis hepatic stellate cell iron lipid peroxidation,33869196;34864819;36370962;38756248;36029649;36703745;35075250,2;2;2;2;2;1;1,-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Require ferroptosis-specific evidence, not oxidative stress alone. || AI-DRAFTED (unreviewed): Strong direct ferroptosis-specific evidence (iron-dependent, GPX4/SLC7A11-related) from mouse models and human/rat hepatic stellate cell lines; no purely generic-oxidative-stress-only papers included, consistent with the curation note. || AUDIT (2nd pass): Cleanest set audited -- all 7 grades independently confirmed, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q034,ophthalmology,mechanism,VEGF signaling diabetic retinopathy angiogenesis inflammation vascular permeability,24319628;26054568;37958563;31866994;26935357;23704522;21584427;9626050,2;2;2;2;1;1;1;1,-;-;-;-;v1;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Prioritize retinal/diabetic retinopathy-specific evidence. || AI-DRAFTED (unreviewed): Well covered by direct human retinal/vitreous evidence and a large human RCT for anti-VEGF efficacy, avoiding generic tumor-angiogenesis VEGF papers; one paper is a partial/negative direct finding, appropriately downgraded. || AUDIT (2nd pass): 26935357 is a treatment-efficacy RCT comparing anti-VEGF drugs, not a mechanistic study -- overgraded at 2, closer to 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q035,aging biology,two_hop_path,senolytic senescence tissue regeneration SASP stem cell inflammation,34904366;37468473;35658936;41291782;28143833;35524726;40277933;31838837,2;2;2;2;1;1;1;1,-;-;-;^2;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Mark speculative 2-hop path support carefully. || AI-DRAFTED (unreviewed): As expected for this exploratory question, true grade-2 evidence is limited to three primary studies (mouse muscle, human DM1 myoblasts, human OA MSCs in vitro); one mouse paper is flagged as a weakest-link complication (SASP can transiently aid regeneration); remainder are review-level/background support, not confirmed 2-hop chains. || AUDIT (2nd pass): 41291782 directly articulates the exact 2-hop senolytic-to-regeneration mechanism asked about -- underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q036,pharmacology,retrieval,Nrf2 oxidative stress natural compound sulforaphane curcumin resveratrol,26881038;21391649;22752583;21793854;31078267;31112588;33515348;31475364;29326403;32664226;34942962;34518768;31092832,2;2;2;2;2;2;2;2;2;1;2;2;2,-;-;-;-;-;-;-;^2;^2;-;^2;^2;^2,codex-final-adjudication,final-ai-adjudicated,"Separate direct Nrf2 activation from antioxidant-only claims. || AI-DRAFTED (unreviewed): Strong direct Nrf2/Keap1 mechanistic evidence mainly for sulforaphane (covalent Keap1 cysteine modification) and curcumin (cell-based Keap1 repression); resveratrol evidence leans on SIRT1-mediated or disease-specific models; human in vivo direct-activation data remain limited per a 2021 systematic review. || AUDIT (2nd pass): 5 of 6 grade-1 papers (31475364, 29326403, 34942962, 34518768, 31092832) present direct experimental/review evidence as strong as the grade-2 set -- the grade-1 tier looks inconsistently conservative and these likely deserve upgrading to 2. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q037,infectious disease,mechanism,hepatitis B virus hepatocellular carcinoma HBx integration inflammation fibrosis,35203390;20485626;32170761;23276797;33563643;36661665;29970455;22962577;27658781;24927147;28097530,2;2;2;2;2;2;2;2;2;1;2,-;-;-;-;-;-;-;^2;^2;-;^2,codex-final-adjudication,final-ai-adjudicated,"Separate HBx, integration, inflammation, and fibrosis evidence. || AI-DRAFTED (unreviewed): Integration mechanisms well-supported by human HCC sequencing studies (TERT promoter/ELF4, TP53/MYC alterations); HBx-signaling and chronic-inflammation/fibrosis mechanisms supported mainly by human cohort and review evidence; fibrosis-specific mechanistic detail is comparatively thinner. || AUDIT (2nd pass): 3 of 4 grade-1 papers (22962577, 27658781, 28097530) are directly on-mechanism and arguably underrated relative to similarly-scoped grade-2 reviews. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q038,metabolic bone disease,association,rheumatoid arthritis bone erosion osteoclast RANKL TNF-alpha cathepsin K,15020327;10693863;10765926;17316459;22867712;21435232;29422077;27612450;34335888;23007741;19798028,2;2;2;2;2;2;2;1;1;2;2,-;-;-;-;^2;^2;^2;-;-;^2;^2,codex-final-adjudication,final-ai-adjudicated,"Prioritize human synovial/bone erosion and validated animal evidence. || AI-DRAFTED (unreviewed): Human synovial-tissue evidence directly implicates RANKL and cathepsin K/TRAP+ osteoclasts at erosion sites, corroborated by the collagen-induced-arthritis animal model; additional human studies point to adjacent pathways (TWEAK/Fn14, adiponectin/osteopontin) secondary to the core axis. || AUDIT (2nd pass): The grade-2/grade-1 split looks too strict -- 5 of 7 grade-1 papers (22867712, 21435232, 29422077, 23007741, 19798028) are direct, gene-specific RA bone-erosion mechanism papers comparable in relevance to the grade-2 set. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q039,neurobiology,direct_evidence,BDNF TrkB synaptic plasticity depression hippocampus,26662461;20172535;16501568;21774990;40791036;26275358;28215294;25451089;32351365;22880079;23704927,1;2;2;1;1;1;1;1;2;1;1,v1;-;-;v1;v1;v1;-;-;^2;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate animal depression models from human biomarker evidence. || AI-DRAFTED (unreviewed): Animal (rodent stress/depression model) evidence directly links BDNF/TrkB signaling to hippocampal synaptic plasticity (LTP, chromatin regulation of Bdnf); human evidence is predominantly peripheral serum-BDNF biomarker/treatment-response studies rather than direct synaptic-plasticity measurement -- complementary but different levels of analysis. || AUDIT (2nd pass): Grading is internally inconsistent -- 26662461 (no depression model, plasticity-only) and three human biomarker-only papers (21774990, 40791036, 26275358) were graded 2 while near-identical biomarker papers (22880079, 23704927) were graded 1; and 32351365 (review hitting BDNF+plasticity+depression directly) was underrated at 1. Roughly 6 of 11 grades merit reconsideration -- flagging this whole question for careful expert re-grading. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q040,cancer metabolism,hypothesis,KRAS mutation immune evasion metabolism lactate PD-L1 tumor microenvironment,28451792;32391119;32046984;41567211;34069772;41184283;36864508;38481800;39990209,2;2;2;2;2;2;2;2;1,-;-;-;-;-;-;^2;^2;-,codex-final-adjudication,final-ai-adjudicated,"Grade direct KRAS-metabolism-immune evidence highest. || AI-DRAFTED (unreviewed): Direct, well-supported KRAS-driven mechanistic chains exist for both arms (KRAS->glycolysis/lactate->immunosuppression, and KRAS->PD-L1), including one causal in vivo KRAS-mutant mouse study with human NSCLC validation; the lactate-lactylation-B7-H3 pathway is a plausible but KRAS-unconfirmed speculative extension, flagged accordingly. || AUDIT (2nd pass): 2 of 3 grade-1 reviews (36864508, 38481800) are as directly on-mechanism as the grade-2 reviews -- likely deserve upgrading. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
