question_id,domain,question,edge_id,source,target,relation_type,supporting_titles,pmids,min_hop_count,max_path_score,rater_id,biologically_meaningful,relation_type_correct,notes
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E02,curcumin,inflammation,ameliorates,The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.; Curcumin and Cancer.; Versatile role of curcumin and its derivatives in lung cancer therapy.,29693253;31590362;32519340,1,0.65,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E03,curcumin,neoplasm metastasis,inhibits,The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.; Curcumin and Gastric Cancer: a Review on Mechanisms of Action.; Targeting STAT3 signaling pathway by curcumin and its analogues for breast cancer: A narrative review.,29693253;30725357;39219410,1,0.65,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E04,curcumin,nfkb1,inhibits,Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.; Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,30623450;41109942,1,0.577,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E05,curcumin,polyphenols,associated_with,Curcumin and Cancer.; Curcumin and its anti-colorectal cancer potential: From mechanisms of action to autophagy.; Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,31590362;38699926;41109942,1,0.548,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E06,curcumin,akt1,regulates,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E07,curcumin,mtor,regulates,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E08,curcumin,cox2,inhibits,Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.,30623450,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E09,curcumin,pik3cb,regulates,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E10,curcumin,tp53,upregulates,Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.,30623450,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E11,curcumin,breast neoplasms,treats,Targeting STAT3 signaling pathway by curcumin and its analogues for breast cancer: A narrative review.,39219410,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E12,curcumin,lung neoplasms,treats,Versatile role of curcumin and its derivatives in lung cancer therapy.,32519340,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E13,curcumin,prostatic neoplasms,treats,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E14,curcumin,osteosarcoma,inhibits,Curcumin induces ferroptosis and apoptosis in osteosarcoma cells by regulating Nrf2/GPX4 signaling pathway.,38166505,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E15,curcumin,stomach neoplasms,treats,Curcumin and Gastric Cancer: a Review on Mechanisms of Action.,30725357,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E16,curcumin,carcinogenesis,inhibits,The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.,29693253,1,0.504,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E17,curcumin,0546,decreases,The role of curcumin on apoptosis and NLRP3 inflammasome-dependent pyroptosis on colorectal cancer in vitro.,38031951,1,0.462,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E18,curcumin,docetaxel,enhances,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.462,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E19,curcumin,quercetin,enhances,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.462,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E20,curcumin,reactive oxygen species,induces,Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.,30623450,1,0.462,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E01,inflammation,cystic fibrosis,associated_with,"The cystic fibrosis intestine.; The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.",23788646;28155088;30546102,1,0.857,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E02,inflammation,dysbiosis,associated_with,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Cystic Fibrosis-Related Gut Dysbiosis: A Systematic Review.; Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.",28155088;36600119;37546931,1,0.689,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E03,cftr,cystic fibrosis,causes,Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Fecal dysbiosis and inflammation in intestinal-specific Cftr knockout mice on regimens preventing intestinal obstruction.,37546931;38073491,1,0.56,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E04,cftr,inflammation,causes,Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.,37546931,1,0.495,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E05,cftr,neoplasms,suppresses,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.",28155088,1,0.495,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E06,cftr,dysbiosis,causes,Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.,37546931,1,0.495,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E07,inflammation,cftr,causes,"Intestinal Inflammation and Alterations in the Gut Microbiota in Cystic Fibrosis: A Review of the Current Evidence, Pathophysiology and Future Directions.; Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.",35160099;37546931,1,0.495,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E08,inflammation,ivacaftor,decreases,Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.,30546102,1,0.495,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E09,inflammation,fatty acids volatile,promotes,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.",28155088,1,0.495,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E10,inflammation,lipopolysaccharides,induces,Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,38554847,1,0.495,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E11,cftr,ctnnb1,interacts_with,Defective CFTR- beta-catenin interaction promotes NF-kappaB nuclear translocation and intestinal inflammation in cystic fibrosis.,27588407,1,0.471,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E12,inflammation,ifng,associated_with,"Gliadin-dependent UPR induction directly triggers the expression of TG2 and pro-inflammatory cytokines, dysregulates intestinal permeability, and reduces CFTR expression in intestinal epithelial cells of celiac disease patients.",40247380,1,0.447,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E13,cystic fibrosis,cftr,causes,"The cystic fibrosis intestine.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.; Cystic Fibrosis, CFTR, and Colorectal Cancer.; Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Fecal dysbiosis and inflammation in intestinal-specific Cftr knockout mice on regimens preventing intestinal obstruction.",23788646;30546102;32326161;37546931;38073491,2,0.685,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E14,cystic fibrosis,dysbiosis,associated_with,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.; Cystic Fibrosis-Related Gut Dysbiosis: A Systematic Review.",28155088;30546102;36600119,2,0.598,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E15,dysbiosis,cystic fibrosis,associated_with,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.; Cystic Fibrosis-Related Gut Dysbiosis: A Systematic Review.",28155088;30546102;36600119,2,0.551,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E16,cystic fibrosis,inflammation,associated_with,"The cystic fibrosis intestine.; The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.",23788646;28155088;30546102,2,0.448,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E01,metformin,diabetes mellitus type 2,treats,Metformin and cancer: Between the bioenergetic disturbances and the antifolate activity.; Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.,26277279;29662316;34062070,1,0.844,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E02,metformin,neoplasms,prevents,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.; Metformin and Dichloroacetate Suppress Proliferation of Liver Cancer Cells by Inhibiting mTOR Complex 1.,29662316;34062070;34576192,1,0.844,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E03,mtor,metformin,associated_with,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.; Metformin in selected malignancies in women.,29662316;34062070;35072253,1,0.74,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E04,metformin,mtor,associated_with,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.; Metformin in selected malignancies in women.,29662316;34062070;35072253,1,0.74,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E05,mtor,prkaa2,associated_with,The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.; Inhibition of 6-phosphogluconate dehydrogenase suppresses esophageal squamous cell carcinoma growth and enhances the anti-tumor effects of metformin via the AMPK/mTOR pathway.,34062070;40140842,1,0.637,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E06,metformin,hif1a,suppresses,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; Metformin in selected malignancies in women.,29662316;35072253,1,0.637,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E07,metformin,prkaa1,activates,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; Metformin in selected malignancies in women.,29662316;35072253,1,0.637,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E08,metformin,prkaa2,activates,The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.; Inhibition of 6-phosphogluconate dehydrogenase suppresses esophageal squamous cell carcinoma growth and enhances the anti-tumor effects of metformin via the AMPK/mTOR pathway.,34062070;40140842,1,0.637,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E09,mtor,pp242,inhibits,Combination of mTOR inhibitor PP242 and AMPK activator metformin exerts enhanced inhibitory effects on colorectal carcinoma cells in vitro by blocking multiple kinase pathways.,35731713,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E10,metformin,akt1,inhibits,Glioblastoma stem cells: a new target for metformin and arsenic trioxide.,24750786,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E11,metformin,ddit4,upregulates,Metformin and Dichloroacetate Suppress Proliferation of Liver Cancer Cells by Inhibiting mTOR Complex 1.,34576192,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E12,metformin,esophageal squamous cell carcinoma,suppresses,Inhibition of 6-phosphogluconate dehydrogenase suppresses esophageal squamous cell carcinoma growth and enhances the anti-tumor effects of metformin via the AMPK/mTOR pathway.,40140842,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E13,metformin,bile duct neoplasms,suppresses,Metformin Induces Apoptosis and Inhibits Proliferation through the AMP-Activated Protein Kinase and Insulin-like Growth Factor 1 Receptor Pathways in the Bile Duct Cancer Cells.,31205529,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E14,metformin,carcinoma hepatocellular,suppresses,Metformin and Dichloroacetate Suppress Proliferation of Liver Cancer Cells by Inhibiting mTOR Complex 1.,34576192,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E15,metformin,hyperglycemia,treats,Pitavastatin and metformin synergistically activate apoptosis and autophagy in pancreatic cancer cells.,33886150,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E16,metformin,ovarian neoplasms,treats,Metformin in selected malignancies in women.,35072253,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E17,metformin,polycystic ovary syndrome,treats,The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.,34062070,1,0.534,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E18,metformin,thyroid neoplasms,inhibits,A novel dual AMPK activator/mTOR inhibitor inhibits thyroid cancer cell growth.,25710562,1,0.534,,,,
Q018,immuno-oncology,What mechanisms link PD-1 blockade to immune-related adverse events?,Q018-E01,immune,ctla4,associated_with,Preclinical models of cardiotoxicity from immune checkpoint inhibitor therapy.,39039301,1,0.576,,,,
Q018,immuno-oncology,What mechanisms link PD-1 blockade to immune-related adverse events?,Q018-E02,immune,pdcd1,associated_with,Preclinical models of cardiotoxicity from immune checkpoint inhibitor therapy.,39039301,1,0.576,,,,
Q018,immuno-oncology,What mechanisms link PD-1 blockade to immune-related adverse events?,Q018-E03,ctla4,inhibitor,inhibits,Preclinical models of cardiotoxicity from immune checkpoint inhibitor therapy.,39039301,2,0.461,,,,
Q018,immuno-oncology,What mechanisms link PD-1 blockade to immune-related adverse events?,Q018-E04,pdcd1,lung diseases,causes,ICOS+CD4 T cells define a high susceptibility to anti-PD-1 therapy-induced lung pathogenesis.,40198121,2,0.461,,,,
Q018,immuno-oncology,What mechanisms link PD-1 blockade to immune-related adverse events?,Q018-E05,pdcd1,inhibitor,inhibits,Preclinical models of cardiotoxicity from immune checkpoint inhibitor therapy.,39039301,2,0.461,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E01,hypoxia,hif1a,associated_with,Chrysophanol Suppresses Hypoxia-Induced Epithelial-Mesenchymal Transition in Colorectal Cancer Cells.; Hypoxia-Induced Epithelial-Mesenchymal Transition in Cancers: HIF-1alpha and Beyond.; Regulation of epithelial-to-mesenchymal transition in hypoxia by the HIF-1alpha network.,30737895;32322559;34905218,1,0.788,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E02,hypoxia,neoplasm metastasis,promotes,"Hypoxia, Epithelial-Mesenchymal Transition, and TET-Mediated Epigenetic Changes.; Hypoxia-Induced Epithelial-Mesenchymal Transition in Cancers: HIF-1alpha and Beyond.",26861406;32322559,1,0.637,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E03,hypoxia,neoplasms,associated_with,"Hypoxia, Epithelial-Mesenchymal Transition, and TET-Mediated Epigenetic Changes.; Hypoxia-Induced Epithelial-Mesenchymal Transition in Cancers: HIF-1alpha and Beyond.",26861406;32322559,1,0.637,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E04,hypoxia,vasp,upregulates,Hypoxia-induced up-regulation of VASP promotes invasiveness and metastasis of hepatocellular carcinoma.,30279729,1,0.534,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E05,hypoxia,tet1,activates,"Hypoxia, Epithelial-Mesenchymal Transition, and TET-Mediated Epigenetic Changes.",26861406,1,0.534,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E06,hypoxia,deferoxamine,related_to,HIF-1alpha Promotes Epithelial-Mesenchymal Transition and Metastasis through Direct Regulation of ZEB1 in Colorectal Cancer.,26057751,1,0.486,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E07,hypoxia,oxygen,associated_with,"Hypoxia, Epithelial-Mesenchymal Transition, and TET-Mediated Epigenetic Changes.",26861406,1,0.486,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E08,hypoxia,stomach neoplasms,associated_with,RORgamma Hijacks HIF-1alpha to Promote Peritoneal Metastasis of Gastric Cancer.,41129727,1,0.486,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E09,neoplasm metastasis,neoplasms,associated_with,"Hypoxia, Epithelial-Mesenchymal Transition, and TET-Mediated Epigenetic Changes.; Hypoxia-Induced Epithelial-Mesenchymal Transition in Cancers: HIF-1alpha and Beyond.; Integrins as attractive targets for cancer therapeutics.",26861406;32322559;34589393,2,0.51,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E10,neoplasms,neoplasm metastasis,associated_with,"Hypoxia, Epithelial-Mesenchymal Transition, and TET-Mediated Epigenetic Changes.; Hypoxia-Induced Epithelial-Mesenchymal Transition in Cancers: HIF-1alpha and Beyond.; Integrins as attractive targets for cancer therapeutics.",26861406;32322559;34589393,2,0.51,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E11,hif1a,egln3,binds_to,RORgamma Hijacks HIF-1alpha to Promote Peritoneal Metastasis of Gastric Cancer.,41129727,2,0.427,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E12,hif1a,mir210,activates,Regulation of epithelial-to-mesenchymal transition in hypoxia by the HIF-1alpha network.,34905218,2,0.427,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E13,hif1a,snai1,activates,Regulation of epithelial-to-mesenchymal transition in hypoxia by the HIF-1alpha network.,34905218,2,0.427,,,,
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,Q023-E14,hif1a,zeb1,upregulates,HIF-1alpha Promotes Epithelial-Mesenchymal Transition and Metastasis through Direct Regulation of ZEB1 in Colorectal Cancer.,26057751,2,0.427,,,,
