question_id,domain,question,question_type,expected_concepts,gold_pmids,minimum_answer_criteria,curator_notes
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,mechanism,metformin; AMPK; mTOR; cancer; apoptosis; proliferation,20135346;29554968;25456211;24858012;31489252;34062070;34607979,Distinguishes direct AMPK/mTOR evidence from broader epidemiologic cancer-risk claims.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q012,neuroinflammation,Which cytokines mediate microglial activation in Alzheimer's disease models?,association,microglia; Alzheimer's disease; IL-1beta; TNF-alpha; IL-6; neuroinflammation,31822279;11755003;35264247;38098004;16055942;31001075;30087595;26207229;31580243,Lists cytokines with model type and cited PMIDs.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q013,cardiometabolic,How does PCSK9 inhibition affect inflammatory markers and endothelial function?,direct_evidence,PCSK9; evolocumab; alirocumab; inflammation; endothelial function; CRP,39565386;38513436;36982171;35930089;36017088;36205734;29530884,Separates lipid-lowering outcomes from direct vascular inflammation evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q014,autoimmune disease,Which JAK inhibitors have evidence for modulating IL-6 or interferon signaling in rheumatoid arthritis?,retrieval,rheumatoid arthritis; JAK inhibitor; tofacitinib; baricitinib; IL-6; interferon,30002661;27931982;35631449;34630419;28199814;39867028;37014106;24453498,Ranks drugs and evidence by human clinical vs mechanistic studies.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q015,infectious disease,What host genes form a plausible 2-hop path between SARS-CoV-2 infection and coagulation abnormalities?,two_hop_path,SARS-CoV-2; coagulation; endothelial injury; tissue factor; complement; cytokines,33684134;39945674;35420680;39599792;33077917;33323111;33063256;9437185,Reports mediated paths and avoids inferring causality from co-occurrence alone.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q016,rare disease,What pathways connect SMN deficiency to mitochondrial dysfunction in spinal muscular atrophy?,mechanism,SMN1; spinal muscular atrophy; mitochondria; oxidative stress; motor neuron,27488123;26586529;36142791;39901351;19437551;36849544;26643950;36604149;27111068,Distinguishes direct SMA evidence from general motor-neuron mitochondrial biology.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q017,pharmacogenomics,Which genes are associated with clopidogrel response or resistance?,retrieval,clopidogrel; CYP2C19; ABCB1; PON1; platelet reactivity,19106084;19106083;20801494;21170047;23698643;31772608;26309584;27380588;21900914;28135763,Returns gene-drug response evidence and labels clinical pharmacogenomic support.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q018,immuno-oncology,What mechanisms link PD-1 blockade to immune-related adverse events?,hypothesis,PD-1; immune checkpoint inhibitor; adverse events; T cells; autoimmunity; cytokines,36605194;35047501;36776862;36351411;33257470;37872166;37304306,Generates testable mechanisms and separates clinical association from mechanistic evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q019,metabolism,Which adipokines connect obesity to nonalcoholic fatty liver disease?,association,obesity; NAFLD; adiponectin; leptin; resistin; inflammation,28758929;16989692;20041267;24044566;19788607;23401753;24843689;19753129;29416297;20498498,Ranks adipokines with human vs animal evidence labels.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q020,osteoporosis,Which Wnt signaling components are linked to osteoblast differentiation and osteoporosis?,retrieval,Wnt; LRP5; sclerostin; beta-catenin; osteoblast; osteoporosis,15778503;19419300;29963786;15221492;26117992;35982318;29080811;19072724;23926379,Returns Wnt pathway components with direct bone evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q021,nephrology,What evidence links SGLT2 inhibitors to reduced kidney inflammation or fibrosis?,direct_evidence,SGLT2 inhibitor; empagliflozin; dapagliflozin; kidney; inflammation; fibrosis,36986825;39168099;33139635;35069210;31333586;28663934;41203232;36331190,Separates clinical renal outcomes from mechanistic inflammation/fibrosis evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q022,cardiology,Which inflammatory pathways connect atrial fibrillation and fibrosis?,mechanism,atrial fibrillation; fibrosis; TGF-beta; IL-6; NLRP3; inflammation,35860690;40243956;39334820;37904680;38419608;33465490;40709209;38877789,"Identifies pathways and states whether evidence is human, animal, or in vitro.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,mechanism,hypoxia; HIF-1alpha; EMT; cancer; metastasis,26057751;28076840;24610352;23979441;19778933;38238426;26819207;32322559,Distinguishes HIF-1alpha-specific evidence from generic hypoxia signatures.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q024,stem cell biology,Which factors regulate mesenchymal stem cell osteogenic differentiation through BMP signaling?,retrieval,mesenchymal stem cell; osteogenesis; BMP2; SMAD; Runx2,28943430;26096280;25470749;28644396;32059748;15526274;26885254,Ranks factors and includes pathway-level citations.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q025,neuromuscular disease,What candidate mechanisms connect Duchenne muscular dystrophy to chronic inflammation?,hypothesis,DMD; dystrophin; inflammation; NF-kB; macrophage; fibrosis,17380205;21842588;25312642;22381526;26380303;32224496;34680483,Produces hypotheses with testable predictions and model labels.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q026,gastroenterology,Which microbiome metabolites are linked to intestinal barrier integrity?,association,microbiome; short-chain fatty acids; butyrate; intestinal barrier; tight junction,35573092;22684624;22731715;32422994;33803334;34959809;28654658;31141995;35953929,Reports metabolites and evidence contexts without overgeneralizing across diseases.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q027,endocrinology,What evidence links vitamin D signaling to immune regulation in autoimmune thyroid disease?,direct_evidence,vitamin D; VDR; autoimmune thyroid disease; Hashimoto; T cells; cytokines,37241088;29026419;27186560;38284726;35399300;29765404;37513592,"Separates association, supplementation, and mechanistic immune evidence.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q028,oncology,Which genes mediate a 2-hop path between EGFR activation and resistance to apoptosis?,two_hop_path,EGFR; apoptosis resistance; PI3K; AKT; BCL2; ERK; cancer,35402265;16226704;19850869;29455644;18454859;15225643;28871105,Reports path confidence and per-edge PMID support.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q029,vascular biology,What mechanisms connect endothelial senescence to atherosclerosis?,mechanism,endothelial senescence; atherosclerosis; oxidative stress; inflammation; SASP,11927518;34272458;19036896;35642067;38001470;37259606,Separates cellular senescence evidence from clinical plaque association.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q030,psychiatry,Which inflammatory markers have been associated with major depressive disorder in human studies?,retrieval,major depression; inflammation; CRP; IL-6; TNF-alpha; human,26065825;19188531;21872339;41226404;30104698;35163538,Ranks markers and prioritizes meta-analysis or human cohort evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q031,dermatology,What pathways connect atopic dermatitis to skin barrier dysfunction?,mechanism,atopic dermatitis; filaggrin; IL-4; IL-13; skin barrier; inflammation,16550169;16990802;31509236;19720210;32751111;29676067;29467325;39202657,Distinguishes genetic barrier evidence from cytokine-mediated barrier disruption.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q032,pulmonology,Which cytokines link asthma exacerbation to airway remodeling?,association,asthma; airway remodeling; IL-13; IL-17; TGF-beta; eosinophils,19075788;12170265;27931975;40257546;30323811;33013361;15032597;18328887,Reports cytokines with human vs animal evidence labels.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q033,hepatology,What evidence supports a link between ferroptosis and liver fibrosis?,direct_evidence,ferroptosis; liver fibrosis; hepatic stellate cell; iron; lipid peroxidation,33869196;34864819;36370962;38756248;36029649;36703745;35075250,Separates direct ferroptosis evidence from oxidative-stress-only evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q034,ophthalmology,Which mechanisms link VEGF signaling to diabetic retinopathy progression?,mechanism,VEGF; diabetic retinopathy; angiogenesis; inflammation; vascular permeability,24319628;26054568;37958563;31866994;26935357;23704522;21584427;9626050,Includes direct retinal evidence and avoids generic VEGF claims.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q035,aging biology,What candidate 2-hop paths connect senolytics to improved tissue regeneration?,two_hop_path,senolytic; senescence; regeneration; SASP; stem cell; inflammation,34904366;37468473;35658936;41291782;28143833;35524726;40277933;31838837,Labels speculative paths and provides weakest-link evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q036,pharmacology,Which natural compounds have evidence for modulating Nrf2 signaling in oxidative stress models?,retrieval,Nrf2; oxidative stress; natural compound; sulforaphane; curcumin; resveratrol,26881038;21391649;22752583;21793854;31078267;31112588;33515348;31475364;29326403;32664226;34942962;34518768;31092832,Ranks compounds and separates direct Nrf2 activation from antioxidant association.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q037,infectious disease,What mechanisms connect chronic hepatitis B infection to hepatocellular carcinoma?,mechanism,HBV; hepatocellular carcinoma; inflammation; HBx; integration; fibrosis,35203390;20485626;32170761;23276797;33563643;36661665;29970455;22962577;27658781;24927147;28097530,"Separates viral protein, integration, inflammation, and fibrosis evidence.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q038,metabolic bone disease,Which osteoclast-related genes are associated with rheumatoid arthritis bone erosion?,association,rheumatoid arthritis; osteoclast; RANKL; TNF-alpha; cathepsin K; bone erosion,15020327;10693863;10765926;17316459;22867712;21435232;29422077;27612450;34335888;23007741;19798028,Ranks genes/cytokines and labels human synovial vs animal model evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q039,neurobiology,What evidence links BDNF signaling to synaptic plasticity in depression models?,direct_evidence,BDNF; TrkB; synaptic plasticity; depression; hippocampus,26662461;20172535;16501568;21774990;40791036;26275358;28215294;25451089;32351365;22880079;23704927,Distinguishes animal model evidence from human biomarker evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q040,cancer metabolism,Which metabolic pathways connect KRAS mutation to immune evasion?,hypothesis,KRAS; immune evasion; metabolism; lactate; PD-L1; tumor microenvironment,28451792;32391119;32046984;41567211;34069772;41184283;36864508;38481800;39990209,Generates testable hypotheses and flags speculative multi-hop links.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q041,multilingual,請找出 SGLT2 抑制劑可能保護腎臟的抗發炎或抗纖維化機制。,multilingual_mechanism,SGLT2 inhibitor; kidney inflammation; fibrosis; empagliflozin; dapagliflozin,32970396;36331190;36986825;39168099;35069210;33139635;34918381;36534320,Chinese answer should cite PMIDs and separate clinical outcomes from mechanism.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q042,multilingual,請比較 IL-17 在類風濕性關節炎與乾癬中的主要免疫細胞來源。,multilingual_association,IL-17; rheumatoid arthritis; psoriasis; Th17; gamma-delta T cell; ILC,20200272;19644886;20929536;40676520;21982596;38168103;25092341;25039885,Chinese answer should compare disease contexts and avoid one-size-fits-all claims.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q043,cross-species,Which claims about NLRP3 inflammasome activation in Alzheimer's disease are supported by human evidence versus mouse models?,cross_species,NLRP3; Alzheimer's disease; inflammasome; microglia; human; mouse,23254930;36579934;34828359;26939933;31359456;35464490;23686772;32929691,"Explicitly labels human, animal, and in vitro evidence.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q044,cross-species,"Does resveratrol improve endothelial function in humans, or is the evidence mainly preclinical?",cross_species,resveratrol; endothelial function; human; preclinical; nitric oxide,37843843;20674311;29431520;28604618;25302702;23750556;20102704;31052341,Separates human trial evidence from animal/cell mechanistic evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q045,cross-species,Which evidence for GLP-1 receptor agonists reducing neuroinflammation comes from human studies versus animal models?,cross_species,GLP-1 receptor agonist; neuroinflammation; human; animal; microglia,42265098;36587502;40606832;34125470;27252647;41326666;28781108,Requires study-type labels and cautious translational wording.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q046,method stress test,Find evidence for a direct causal link between caffeine and telomerase activation in human immune cells.,direct_evidence,caffeine; telomerase; immune cells; human,26384306;28603543;33720241,Should say when direct evidence is absent or weak rather than inventing a mechanism.,Negative-control style question; needs curator gold/irrelevance labels. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q047,method stress test,Is there direct evidence that quercetin upregulates CFTR in cystic fibrosis intestinal epithelium?,direct_evidence,quercetin; CFTR; cystic fibrosis; intestinal epithelium,27932986;22186243,Should distinguish direct evidence from adjacent antioxidant or epithelial-barrier evidence.,Negative-control style question; needs curator gold/irrelevance labels. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q048,method stress test,What evidence supports a causal pathway from melatonin to osteoclast inhibition through miR-21?,mechanism,melatonin; osteoclast; miR-21; osteoporosis,35726597;28240263;26160841;32093031,Should avoid forcing a miRNA mechanism if direct evidence is unavailable.,Negative-control style question; needs curator gold/irrelevance labels. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q049,systematic retrieval,Which PMIDs directly study the relationship between TGF-beta signaling and cardiac fibrosis in humans?,retrieval,TGF-beta; cardiac fibrosis; human; myocardium,37495732;30983140;30697920;29233682;34576234;30371263;28891814;21059352,Prioritizes direct human cardiac fibrosis evidence and excludes unrelated fibrosis contexts.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q050,hypothesis generation,"Generate a testable hypothesis connecting gut microbiome dysbiosis, IL-17, and bone loss.",hypothesis,gut microbiome; dysbiosis; IL-17; bone loss; osteoporosis,33586672;31980603;34373550;32373553;22970248;33432923;29955622;33469043,"Provides novelty, plausibility, and experimental validation plan with cited evidence.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
