system,edge_id,source,target,relation_type,pmids,rater_id,biologically_meaningful,relation_type_correct,notes
netmedex_hybrid_rag,Q001-E11,icariin,vegfa,decreases,32911026,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] VEGFA is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E12,icariin,bone diseases,ameliorates,39588260,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions promoting repair of 'Infected Bone Defects', which supports the relation that it ameliorates bone diseases."
netmedex_hybrid_rag,Q001-E13,icariin,osteoporotic fractures,ameliorates,41484919,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Osteoporotic fractures are not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E14,icariin,onfh,prevents,32911026,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] ONFH stands for osteonecrosis of the femoral head, and the title explicitly mentions 'prevention of steroid-induced osteonecrosis of femoral head'."
netmedex_hybrid_rag,Q001-E15,icariin,oc,regulates,39588260,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] OC likely refers to osteoclast in this context, and the title explicitly mentions 'Regulating Osteoclast and Osteoblast Communication'."
netmedex_hybrid_rag,Q001-E16,icariin,flavonoids,associated_with,33743412,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Flavonoids are not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E17,mir335,steroids,induces,32911026,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions steroid-induced osteonecrosis and abnormal expression of miRNA-335, but it does not state or imply that miR-335 induces steroids."
netmedex_hybrid_rag,Q001-E18,runx2,mir153,upregulates,29904399,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states that microRNA-153 targets Runx2, meaning the regulation flows from miR-153 to Runx2, not the other way around. The direction is incorrect."
netmedex_hybrid_rag,Q001-E19,runx2,0409,expresses,38045146,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Runx2 is not mentioned in the title, and '0409' is an extraction artifact."
netmedex_hybrid_rag,Q001-E20,kdm6b,0409,expresses,38045146,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The target '0409' is an extraction artifact and not a valid biological entity."
netmedex_hybrid_rag,Q004-E01,curcumin,neoplasms,treats,15810876;29693253;30623450,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles explicitly mention curcumin's role in 'cancer therapy' and 'cancer prevention and treatment', supporting that it treats neoplasms."
netmedex_hybrid_rag,Q004-E02,curcumin,inflammation,ameliorates,29693253;31590362;32519340,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] None of the provided titles mention inflammation, so there is no support for this relationship in the text provided."
netmedex_hybrid_rag,Q004-E03,curcumin,neoplasm metastasis,inhibits,29693253;30725357;39219410,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles mention various cancers (gastric, breast) but do not specifically mention metastasis or its inhibition."
netmedex_hybrid_rag,Q004-E04,curcumin,nfkb1,inhibits,30623450;41109942,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided titles do not mention nfkb1 or NF-kB."
netmedex_hybrid_rag,Q004-E05,curcumin,polyphenols,associated_with,31590362;38699926;41109942,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles do not mention polyphenols, even though curcumin is one."
netmedex_hybrid_rag,Q004-E06,curcumin,akt1,regulates,41109942,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title discusses prostate cancer but does not mention akt1."
netmedex_hybrid_rag,Q004-E07,curcumin,mtor,regulates,41109942,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title discusses prostate cancer but does not mention mtor."
netmedex_hybrid_rag,Q004-E08,curcumin,cox2,inhibits,30623450,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title discusses apoptosis modulation but does not mention cox2."
netmedex_hybrid_rag,Q004-E09,curcumin,pik3cb,regulates,41109942,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title discusses prostate cancer but does not mention pik3cb."
netmedex_hybrid_rag,Q004-E10,curcumin,tp53,upregulates,30623450,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title discusses apoptosis modulation but does not mention tp53 or p53."
netmedex_hybrid_rag,Q004-E11,curcumin,breast neoplasms,treats,39219410,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions targeting a signaling pathway by curcumin 'for breast cancer', implying a therapeutic relationship."
netmedex_hybrid_rag,Q004-E12,curcumin,lung neoplasms,treats,32519340,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions the role of curcumin in 'lung cancer therapy'."
netmedex_hybrid_rag,Q004-E13,curcumin,prostatic neoplasms,treats,41109942,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions curcumin in 'prostate cancer' and 'therapeutic strategies'."
netmedex_hybrid_rag,Q004-E14,curcumin,osteosarcoma,inhibits,38166505,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states curcumin induces apoptosis in 'osteosarcoma cells', which correctly aligns with inhibiting the cancer."
netmedex_hybrid_rag,Q004-E15,curcumin,stomach neoplasms,treats,30725357,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title discusses curcumin and 'Gastric Cancer' (stomach neoplasms) and its mechanisms of action, implying a treatment role."
netmedex_hybrid_rag,Q004-E16,curcumin,carcinogenesis,inhibits,29693253,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions 'cancer prevention', which is synonymous with inhibiting carcinogenesis."
netmedex_hybrid_rag,Q004-E17,curcumin,0546,decreases,38031951,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The target '0546' is an artifact and is not supported by the title."
netmedex_hybrid_rag,Q004-E18,curcumin,docetaxel,enhances,41109942,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title does not mention docetaxel."
netmedex_hybrid_rag,Q004-E19,curcumin,quercetin,enhances,41109942,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title does not mention quercetin."
netmedex_hybrid_rag,Q004-E20,curcumin,reactive oxygen species,induces,30623450,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The provided title does not mention reactive oxygen species."
netmedex_hybrid_rag,Q008-E01,inflammation,cystic fibrosis,associated_with,23788646;28155088;30546102,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The supporting titles explicitly link intestinal inflammation with cystic fibrosis."
netmedex_hybrid_rag,Q008-E02,inflammation,dysbiosis,associated_with,28155088;36600119;37546931,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The supporting titles explicitly link inflammation and dysbiosis in the context of cystic fibrosis."
netmedex_hybrid_rag,Q008-E03,cftr,cystic fibrosis,causes,37546931;38073491,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Cystic fibrosis is not mentioned in the supporting titles, making the edge unsupported by the provided text."
netmedex_hybrid_rag,Q008-E04,cftr,inflammation,causes,37546931,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title indicates that Cftr knockout (loss of function) is associated with inflammation, meaning CFTR itself does not cause inflammation."
netmedex_hybrid_rag,Q008-E05,cftr,neoplasms,suppresses,28155088,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] CFTR is not mentioned in the supporting title, making the relationship unsupported by the text."
netmedex_hybrid_rag,Q008-E06,cftr,dysbiosis,causes,37546931,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title indicates that Cftr knockout is associated with dysbiosis, meaning the loss of CFTR causes dysbiosis, not CFTR itself."
netmedex_hybrid_rag,Q008-E07,inflammation,cftr,causes,35160099;37546931,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles discuss inflammation in Cftr knockout mice and CF, but do not suggest that inflammation causes CFTR."
netmedex_hybrid_rag,Q008-E08,inflammation,ivacaftor,decreases,30546102,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title suggests Ivacaftor impacts (likely decreases) inflammation, not that inflammation decreases Ivacaftor. The direction is reversed."
netmedex_hybrid_rag,Q008-E09,inflammation,fatty acids volatile,promotes,28155088,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Volatile fatty acids are not mentioned in the supporting title, making the edge unsupported."
netmedex_hybrid_rag,Q008-E10,inflammation,lipopolysaccharides,induces,38554847,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Neither inflammation nor lipopolysaccharides are explicitly mentioned in the supporting title."
netmedex_hybrid_rag,Q008-E11,cftr,ctnnb1,interacts_with,27588407,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions a CFTR-beta-catenin (CTNNB1) interaction."
netmedex_hybrid_rag,Q008-E12,inflammation,ifng,associated_with,40247380,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions pro-inflammatory cytokines but does not specifically mention IFNG, making the specific edge unsupported."
netmedex_hybrid_rag,Q008-E13,cystic fibrosis,cftr,causes,23788646;30546102;32326161;37546931;38073491,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles mention both CF and CFTR, but cystic fibrosis does not cause CFTR (mutations in the CFTR gene cause CF)."
netmedex_hybrid_rag,Q008-E14,cystic fibrosis,dysbiosis,associated_with,28155088;30546102;36600119,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The supporting titles explicitly link cystic fibrosis and gut dysbiosis."
netmedex_hybrid_rag,Q008-E15,dysbiosis,cystic fibrosis,associated_with,28155088;30546102;36600119,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The supporting titles explicitly link gut dysbiosis and cystic fibrosis."
netmedex_hybrid_rag,Q008-E16,cystic fibrosis,inflammation,associated_with,23788646;28155088;30546102,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The supporting titles explicitly link cystic fibrosis and intestinal inflammation."
netmedex_hybrid_rag,Q011-E01,metformin,diabetes mellitus type 2,treats,26277279;29662316;34062070,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Diabetes mellitus type 2 is not mentioned in the supporting titles, which focus entirely on cancer."
netmedex_hybrid_rag,Q011-E02,metformin,neoplasms,prevents,29662316;34062070;34576192,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles support an anticancer/suppressive role ('anticancer activity', 'Suppress Proliferation'), but 'prevents' implies prophylaxis which is not supported by the titles."
netmedex_hybrid_rag,Q011-E03,mtor,metformin,associated_with,29662316;34062070;35072253,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles explicitly mention the 'AMPK/mTOR signaling pathway in anticancer activity of metformin', supporting an association."
netmedex_hybrid_rag,Q011-E04,metformin,mtor,associated_with,29662316;34062070;35072253,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles explicitly mention the 'AMPK/mTOR signaling pathway in anticancer activity of metformin', supporting an association."
netmedex_hybrid_rag,Q011-E05,mtor,prkaa2,associated_with,34062070;40140842,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] PRKAA2 is a catalytic subunit of AMPK. The titles explicitly mention the 'AMPK/mTOR pathway', supporting the association."
netmedex_hybrid_rag,Q011-E06,metformin,hif1a,suppresses,29662316;35072253,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] HIF1A is not mentioned in any of the supporting titles."
netmedex_hybrid_rag,Q011-E07,metformin,prkaa1,activates,29662316;35072253,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] PRKAA1 is a catalytic subunit of AMPK. The titles state metformin acts 'via AMPK pathway', implying activation of the kinase."
netmedex_hybrid_rag,Q011-E08,metformin,prkaa2,activates,34062070;40140842,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] PRKAA2 is a catalytic subunit of AMPK. The titles state metformin acts 'via the AMPK/mTOR pathway', implying activation of AMPK."
netmedex_hybrid_rag,Q011-E09,mtor,pp242,inhibits,35731713,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states PP242 is an 'mTOR inhibitor'. The relation direction is backwards (PP242 inhibits mTOR, not the other way around)."
netmedex_hybrid_rag,Q011-E10,metformin,akt1,inhibits,24750786,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] AKT1 is not mentioned in the supporting title."
netmedex_hybrid_rag,Q011-E11,metformin,ddit4,upregulates,34576192,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] DDIT4 is not mentioned in the supporting title."
netmedex_hybrid_rag,Q011-E12,metformin,esophageal squamous cell carcinoma,suppresses,40140842,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions the 'anti-tumor effects of metformin' on 'esophageal squamous cell carcinoma growth'."
netmedex_hybrid_rag,Q011-E13,metformin,bile duct neoplasms,suppresses,31205529,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly states that metformin 'Inhibits Proliferation... in the Bile Duct Cancer Cells'."
netmedex_hybrid_rag,Q011-E14,metformin,carcinoma hepatocellular,suppresses,34576192,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Hepatocellular carcinoma refers to liver cancer. The title explicitly states metformin and dichloroacetate 'Suppress Proliferation of Liver Cancer Cells'."
netmedex_hybrid_rag,Q011-E15,metformin,hyperglycemia,treats,33886150,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Hyperglycemia is not mentioned in the supporting title."
netmedex_hybrid_rag,Q011-E16,metformin,ovarian neoplasms,treats,35072253,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] While ovarian neoplasms are malignancies in women, they are not explicitly mentioned or supported by the provided title."
netmedex_hybrid_rag,Q011-E17,metformin,polycystic ovary syndrome,treats,34062070,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Polycystic ovary syndrome (PCOS) is not mentioned in the supporting title."
netmedex_hybrid_rag,Q011-E18,metformin,thyroid neoplasms,inhibits,25710562,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title refers to a 'novel dual AMPK activator/mTOR inhibitor', which does not support metformin (an established, non-novel drug) as the subject."
netmedex_hybrid_rag,Q018-E01,immune,ctla4,associated_with,39039301,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The term 'immune' is extracted as a standalone entity but is merely an adjective from 'immune checkpoint inhibitor'. CTLA4 is not explicitly mentioned in the title, making this a spurious extraction artifact."
netmedex_hybrid_rag,Q018-E02,immune,pdcd1,associated_with,39039301,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Similar to Q018-E01, 'immune' is not a valid standalone biological entity here, and PDCD1 (PD-1) is not explicitly mentioned in the title. This is a co-occurrence artifact."
netmedex_hybrid_rag,Q018-E03,ctla4,inhibitor,inhibits,39039301,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The entity 'inhibitor' is too generic. Furthermore, the relation direction is backwards and nonsensical: CTLA4 does not inhibit an 'inhibitor'; rather, an inhibitor would inhibit CTLA4."
netmedex_hybrid_rag,Q018-E04,pdcd1,lung diseases,causes,40198121,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] There is a clear biological link between the PD-1 pathway and lung pathogenesis. However, the relation 'causes' is incorrect for PDCD1 itself, as the title specifies that it is the 'anti-PD-1 therapy' (blockade of PD-1) that induces the lung pathogenesis, not the PD-1 receptor."
netmedex_hybrid_rag,Q018-E05,pdcd1,inhibitor,inhibits,39039301,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The entity 'inhibitor' is generic, and the relation direction is incorrect. PDCD1 does not inhibit an 'inhibitor'."
netmedex_hybrid_rag,Q023-E01,hypoxia,hif1a,associated_with,30737895;32322559;34905218,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles explicitly mention hypoxia and HIF-1alpha in the context of EMT, supporting an association."
netmedex_hybrid_rag,Q023-E02,hypoxia,neoplasm metastasis,promotes,26861406;32322559,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The supporting titles mention EMT and cancer, but do not explicitly mention metastasis."
netmedex_hybrid_rag,Q023-E03,hypoxia,neoplasms,associated_with,26861406;32322559,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles explicitly mention hypoxia-induced EMT in cancers, supporting an association between hypoxia and neoplasms."
netmedex_hybrid_rag,Q023-E04,hypoxia,vasp,upregulates,30279729,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly states 'Hypoxia-induced up-regulation of VASP'."
netmedex_hybrid_rag,Q023-E05,hypoxia,tet1,activates,26861406,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions hypoxia and TET-mediated changes, but does not state that hypoxia activates TET1 (hypoxia typically inhibits TET enzymes)."
netmedex_hybrid_rag,Q023-E06,hypoxia,deferoxamine,related_to,26057751,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Deferoxamine is not mentioned in the supporting title."
netmedex_hybrid_rag,Q023-E07,hypoxia,oxygen,associated_with,26861406,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Oxygen is not explicitly mentioned in the supporting title."
netmedex_hybrid_rag,Q023-E08,hypoxia,stomach neoplasms,associated_with,41129727,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Hypoxia is not mentioned in the supporting title."
netmedex_hybrid_rag,Q023-E09,neoplasm metastasis,neoplasms,associated_with,26861406;32322559;34589393,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Metastasis is not mentioned in the supporting titles."
netmedex_hybrid_rag,Q023-E10,neoplasms,neoplasm metastasis,associated_with,26861406;32322559;34589393,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Metastasis is not mentioned in the supporting titles."
netmedex_hybrid_rag,Q023-E11,hif1a,egln3,binds_to,41129727,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] EGLN3 is not mentioned in the supporting title."
netmedex_hybrid_rag,Q023-E12,hif1a,mir210,activates,34905218,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] miR-210 is not mentioned in the supporting title."
netmedex_hybrid_rag,Q023-E13,hif1a,snai1,activates,34905218,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] SNAI1 is not mentioned in the supporting title."
netmedex_hybrid_rag,Q023-E14,hif1a,zeb1,upregulates,26057751,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states HIF-1alpha promotes EMT and metastasis through direct regulation of ZEB1, implying upregulation."
